previous_operator_utterance,operator_utterance,negative_utterance
オペレーター: その中で決めていただくと。,オペレーター: はい。もちろんです。,カスタマー: 生ではなくて、焼き魚を堪能したいんですがありますか？
オペレーター: ここで、お茶をしていただきまして、蓼科パークホテル夕映えの湯に入りまして、キュウゾウベエ餅本舗あらら木っていうところで、お餅を買っていただくって、話で、あと、ギャラリー我忘亭、亭で、我忘亭を、見学をして、黒曜石、体験ミュージアムで、手芸の体験をするというコースなんですけれども、いかがですか？,オペレーター: すごく楽し,カスタマー: 私も行ってみたいなと思う感じがします。
オペレーター: ごっちゃ焼きというものもお召し上がりになって、まだまだ、もう<>ぐらいは食べれますよね？,オペレーター: どうしましょうか？,カスタマー: そうですね、聞いたところによると、東京と
オペレーター: できるっていう施設ですね。,オペレーター: なんか、よさそうですね。ここの営業時間は。,カスタマー: 9時から17時で、
オペレーター: で、ブラックサンダーの白いバージョン、白いブラックサンダーというのがあったり、,オペレーター: おそらく、,カスタマー: そこでしか買えない…
オペレーター: 月曜日からへい、閉館するのは、月曜日から金曜日ですね、祝日とか日曜日とかが営業、土日ですね、営業されてますので、そのへんはご注意ください。,オペレーター: 入場料が大人は300円になります。,カスタマー: 安くていいですね、ははは。
オペレーター: 一応ですね、博覧会のおよそ8年後、アメリカのコニオ、コニオワン、アイランド<>、コニーアイランドをまねた遊園地、メガパークっていうのがあるみたいです。,オペレーター: <>パリのエッフェル塔と凱旋門を模した通天閣が誕生ってさっきとおんなじなんですけれどもー、その辺に、こう、コウギョウカン、飲食店が集まりー、大衆の娯楽の場として、栄えたと書かれておりましてー、ノスタルジックな店を<>連なっているっていう感じなんですけれども、なんとなく大阪の人情が伝わってくるような雰囲気らしいんですがー。,カスタマー: ははは、<>、
オペレーター: もし、よろしければー、春に行かれまして―、お花見をしてー、で、その後ですね。,オペレーター: 伊勢神宮、に行かれまして―、お参りをするのも、楽しいかと思うんですけれどもー、ご興味ございますか？,カスタマー: 確かに春は桜、だったんで、他に、三重県に限らず桜が綺麗な所、あります？
オペレーター: ですので、こちらであんみつを食べてですね、,オペレーター: お口直しをして、,カスタマー: おうどんを食べて締められるという流れ、こちらいかがでしょう。
オペレーター: こちら、日本海沿い、ですね。もうすぐ近く…。どれくらいの距離なんだろう。でも、歩いても、行けなくはないような距離に多分あるみたいですね。,オペレーター: そうですね、近くに<>。,カスタマー: それは楽しみですね、是非、そちら、こ、コースに入れたいと思いますね。
オペレーター: と、越後湯沢で、か、あと。,オペレーター: 展示会ですか？,カスタマー: そう、展示会。はい。
オペレーター: 結構お酒、もし飲まれるのであれば。,オペレーター: 全然飲まなくても楽しめると思うんで。,カスタマー: そうですね、もうそういうのだけで。
オペレーター: レンタサイクルでしたりとか、ボートでしたりとか、大型遊具があるみたいです。,オペレーター: あと、春なのであれなんですけれども、ウォータースライダーとかも、プールですね。春でもし、4月ぐらいだったらどうかなと思うんですけど。,カスタマー: ど、どうなんでしょうね。泳げるんですかね。泳げるまではいかないかな。どうなんだろう。
オペレーター: こちらはお寿司とか天ぷらとか懐石、本格的に日本料理を楽しめるレストランとなっているんですけれども。,オペレーター: いろんなものが食べられるっていうところでは、バラエティに富んだレストランっていう感じなんですけど。,カスタマー: じゃ料亭みたいな感じではない感じですね、
オペレーター: はい。,オペレーター: そうですね、このはじめのしかあと釣り堀みたいなところ。,カスタマー: 魚を釣って食べるんですか。
オペレーター: 結構お酒、もし飲まれるのであれば。,オペレーター: 全然飲まなくても楽しめると思うんで。,カスタマー: メニューとしてあるんだったら<>
オペレーター: 今の所この2つが、検索で出てきたんですけど、どっちが興味あるとかって…,オペレーター: そうですね。,カスタマー: いいなーって思ったんですけど。
オペレーター: あとー、スイトピアガーデン、ってゆうのは、わ、和菓子のー工場見学、施設工場、見学でございますねー。,オペレーター: あとは―、明治、また、明治なんですけど、な、なるほどファクトリー、十勝、となっておりまして、これは、やっぱり、工場として、つこ、見学でございます。,カスタマー: 十勝、
オペレーター: いかがなさいーますかねもうちょっと…、お料理～…、一応探してみますか他のお店とかー。,オペレーター: そうでっすねー。,カスタマー: 普通で見ながら、午前中二個は可能なのかー、もしくは、ソーキ、そばのーお昼を挟んで、分けた方がいいのか。
オペレーター: 日本酒ございました。,オペレーター: <>。,カスタマー: 越後湯沢の、めいし、め、銘酒っていうの、あるの？
オペレーター: 大阪でうどんで、検索かけてみますね。,オペレーター: 仰っているようなうどん、か、梅田カマアゲうどん、釜たけうどん、ていうのがあるんですけれども。,カスタマー: 心斎橋とか難波。
オペレーター: 町全体を黄色に染め上げ、訪れた方々を魅了する。,オペレーター: とゆーよーな説明文がございますね。,カスタマー: 外から見るんですかね？
オペレーター: 分かりました。,オペレーター: 他にですね、沖縄県で何か見てみたいですとか食べてみたいですとか、買いたいものとか、そういったご要望はございますか？,カスタマー: じ、自分用ってわけじゃないんですけど。
オペレーター: そうなんです。,オペレーター: そこの、らしさ、地方のー、郷土ろ、料理のらしさ、を追求しているようなお店でございます。,カスタマー: いや、そういうの<>。
オペレーター: 和楽庵と、和楽庵というお店でございます。,オペレーター: 楽しみですね、すごく、ねえ。,カスタマー: そうですね、うん、うん。
オペレーター: 一応書いてあるのが、やっぱり干物がメインみたいな感じで。,オペレーター: そうですね、有名のようですねこちらでは。,カスタマー: いいと思います、
オペレーター: ビアレストランでいろいろ、ジンギスカンとか焼肉とか、和食とか色んな物が楽しめるような感じなんですけれども,オペレーター: こちらに行けばー、ま、いろんなものが、召し上がれるんじゃないかなって思うんですけれども。,カスタマー: 一人で行っても大丈夫…ですか？
オペレーター: 今大阪の、演芸場でチェックを入れた所ここの所が二か所なんですけれども。,オペレーター: 他に何かご覧になりたいものとか、ありますか？,カスタマー: 見たいものですかね。
オペレーター: <>たこ焼きとか。,オペレーター: ざっくりこういう粉ものみたいな感じ、,カスタマー: そうですね、お好み焼きも有名ですよね。
オペレーター: あとですね、庭園がございますので、そのお庭を見ながらですね、四季の景色をお楽しみいただける場所となっております。,オペレーター: こちらはいかがですか、それともほかの場所もお調べしてみてお選びいただくかたち<>,カスタマー: 見てみたいんですけど、ほかも、いくつか
オペレーター: こちらはいかがですか？,オペレーター: そうです。,カスタマー: あ、じゃあそちらで。
オペレーター: こちらが、昔の酒造、酒造道具をインテリアにした店内で…利き酒？,オペレーター: 利き酒体験が…できるところとなっているんですけれども。,カスタマー: 利き酒…。
オペレーター: こちらもファッションですね。,オペレーター: お土産的なものがよろしいですか。,カスタマー: 友達と行ったら、家族にお土産買っておかないと怒られちゃいますよね。エヘヘヘ。
オペレーター: こちら冬ということで、ちょうど北海道も楽しいんじゃないのかな、と思いまして、お勧めしております次第です。,オペレーター: お客様、まずこちらはいかがでしょうか。もっと別の場所がよろしいですか。,カスタマー: ニセコは、良さそうですけどー、
オペレーター: はい、,オペレーター: なるほど。羽咋ね。,カスタマー: 七尾はおいしいものも含めていろいろありそうな気はするんだけど。
オペレーター: いかがでしょう？,オペレーター: <>春は新緑が美しいところでございます。,カスタマー: そ、それがいいかな、
オペレーター: なるほど。,オペレーター: 知床はまだ未開拓の場所ですか？,カスタマー: そうですねー、ちょっと遠いじゃないですか。
オペレーター: <>酔う心。,オペレーター: 酔心、すいしんと読みます。,カスタマー: 酔心さん、<>
オペレーター: 絵画展でございますか？,オペレーター: いま検索しております。季節的には何月ぐらいがよろ、し、い…。,カスタマー: 思っています、好きなんで、そういう。見に行くことがね。
オペレーター: そういう感じですと、少々お待ちください。,オペレーター: 一応ですね、そのガラスー、ですね、薩摩切子の方ですとー、製作、製造工程の見学もできるお店っていうか、工房もあるんですけど、こっちも紹介しましょうか？,カスタマー: はい、
オペレーター: もしよろしければこちらも、おすすめでございます。,オペレーター: あとですねお客様、青森県で何か他に見てみたいですとか、食べてみたいですとか、そういったご要望はございますか？,カスタマー: りん、林檎と。
オペレーター: では、お昼の、わんこそばのお店からまずは、お探し致しますので、少々お待ち頂けますか。,オペレーター: 例えばですねー、わんこそば、どんなわんこそばのお店でもよいでしょうか。それとも何か、こだわりのわんこそば、御座いますか。,カスタマー: そんな詳しくないのでー、
オペレーター: お客様、トルコライスはご存知でしょうか。,オペレーター: ではお客様、トルコライスってどういうものが乗っていると思いますか？,カスタマー: ごめん、分からないです。
オペレーター: こちら、あれですね、ホヤの鉄板ステーキ。,オペレーター: とかも、ございますけれども。,カスタマー: どこで食べられるんだ、みたいな話を、昨日もしてたんですけど。
オペレーター: 一応、寺…、では、こちら写真の…、情報がないんですけど、一応…。,オペレーター: お寺～は、現存しているみたいですね。,カスタマー: そうですね。ぜ、ぜひー、
オペレーター: これは確定はできないですけど、有料ツアーだと、もうちょっと飲めるとかそういうことかもしれないですね。,オペレーター: これが千歳ワイナリー。,カスタマー: 千歳ワイナリー、っていうことは、じゃ新千歳空港に近いのかな？
オペレーター: お客様、乗馬体験とかお好きですか？,オペレーター: 大好きですか。あるいは、そば打ちとかどうでしょう。,カスタマー: 面白そうですねー。
オペレーター: カフェ…カフェで…例えば、カフェゆう梅田店さんだと。,オペレーター: こちらが、こちらは変わってまして、陶芸教室？,カスタマー: 陶芸教室。
オペレーター: <>え、もしよろしければ、こちらにお立ち寄りになって、ずんだ餅お召し上がりになるとお土産も一緒に買って帰ってですね,オペレーター: ご自宅に戻ったあとも、仙台の思い出を,カスタマー: ふふふ
オペレーター: アロマテラピーとかもあります。,オペレーター: アロマテラピーです。,カスタマー: アロマセラピー、に、匂い？
オペレーター: で、定番なのが、うみんちゅをはじめとする様々なデザイン、よくうみんちゅのTシャツみたいの着てる人。,オペレーター: あれが写真に写ってる。,カスタマー: すいません、それあんまりいらないかも。
オペレーター: 彫刻、絵画など幅広いコレクションで、など、国の重要文化財なども多数、展示している場所となってます。,オペレーター: <>こういう<>。,カスタマー: そこ、ぜ、ぜひ、
オペレーター: 昔の,オペレーター: お城みたいな感じの建物なんですけども。,カスタマー: ええ、ふーん、
オペレーター: っと、昼食のご予算がー、三千円から五千円。,オペレーター: 夕食だと、五千円から、一万円。,カスタマー: それぐらいなんですねー。
オペレーター: 今ちょっと検索してみますので少々お待ちください。,オペレーター: そうだな、た、例えば、一応、美術館というか、一応、資料館みたいな感じになるんですけども、茶道資料館という場所が。,カスタマー: もう、そのものズバリですね。
オペレーター: 定番の味噌ラーメンは、濃厚なのにすっきりとした辛みのあるスープ。,オペレーター: と書かれてありまして。,カスタマー: 老舗。
オペレーター: すいません、そしたら、じゃ、一応、こちらも候補の一つとして。,オペレーター: あげておきますね。あとですね、お客様、体験といったところで。,カスタマー: 例えばなんですけど、京都の舞妓さんみたいな格好をしてー、写真を撮るとか、そういったことはご興味ございますか？
オペレーター: と、こちらはー、最寄り駅は小出という駅になります。,オペレーター: はい。バスも出てるのかな。越後、小出駅から、南越後観光バスっていうのに乗って25分なんですけれども。ちょっと遠いかなっていう感じなんですが。,カスタマー: もしかして、やめとか、山とか、そういうとこじゃないよな？山っていうか。
オペレーター: 例えば、長崎に山があるんですね。,オペレーター: 稲佐山という、その山頂にレストランがあってー、そこで夜景を見ながらお食事をしたりすることも出来ますし、もちろん昼だったら長崎を一望できる景色が、ご覧に頂ける、,カスタマー: ああ、ああ、ああー。
オペレーター: こちら大変広いお店ですので、4000品目のお土産？,オペレーター: 食べ物からお酒から、ぶっ、民芸品から、たくさんございますので、買いそびれることはないかと思うんですけど。,カスタマー: なかなか。こちらだと間違いなく。
オペレーター: 資料館というか博物館みたいになっておりまして、こちらですとおみこし？おみこしですとか、展示されてあ、ありまして。,オペレーター: んで、キリコ祭りを、そのスクリーンシアターで見ることができるんですね。,カスタマー: あれ？キリコ祭り自体は夏でしたっけ？
オペレーター: スイカは出てないんですけど。,オペレーター: いろいろ。,カスタマー: スイカって名物ですよね、多分、高知県の。
オペレーター: 永井豪…でも、それだけだしなあ～、漫画。,オペレーター: あとは、次は北村ぎ、美術館。,カスタマー: び、北村美術館？
オペレーター: そして、夕ご飯は美食ダイニングえん沖縄でお召し上がりいただくということでよろしいでしょうか？,オペレーター: ありがとうございました、それでは本日の観光案内は以上となります、ご利用いただきましてありがとうございました。,カスタマー: こちらこそ長々とありがとうございました。
オペレーター: そうですね、沖縄行ってきましたーっていうこう話ができるような場所ではあるのかなあと思います。,オペレーター: ほかにもですねー、沖縄料理ということでー、たまごのなんていうんでしょう、スクランブルエッグの上に、スパムっていうんですかね、それがのって、ちょっと、沖縄まで行ってこれ食べる<>感じもしますしー、ちょっと待ってくださいねー、私共のほうで調べてみますので、お待ちくださいませ。,カスタマー: 缶詰の肉ですよね。
オペレーター: こちら、国の登録有形文化財に指定されてまして。,オペレーター: なかなか、立派な神社ではございますけれども、ご興味ございますか?,カスタマー: ほら、平泉とかね、岩手とかってあるけど。
オペレーター: 例えばやはりですね、お魚系が多いですね。,オペレーター: 例えばこちらですと、三味線、津軽三味線を聴きながら。,カスタマー: 郷土料理が味わえるお店とかございまして。
オペレーター: どうでしょうか、それか。,オペレーター: あるいはテーマパークのようなものがよろしいですか？,カスタマー: そっちのほうがいいかもしれないです。
オペレーター: こちらメリットはですねー、外観からのご見学になりますと、いつでもご覧に頂けますのまあ、,オペレーター: 集落なので夜とかに行くとちょっとご迷惑になるかもしれませんけれども、おく、ただお客様の自由な、お時間のご都合でですね、行くことが出来ますので、その点のみご理解、頂ければと思います。,カスタマー: それは、良いですねー。
オペレーター: はい。,オペレーター: あとー、7階には、上方演芸の歴史に触れる大阪府立演芸資料館ワッハ上方があります。,カスタマー: それがいいわ。
オペレーター: 秋頃に4、5に…4、5名で…鳥取方面で、といったところで。で、鳥取砂丘で、ラクダもしくはパラグライダーとかですね。そういったのがありますので、鳥取砂丘に行かれまして、でお客様、秋頃行かれるとのことなので。,オペレーター: けっ渓谷ーが鳥取砂丘の近くにございますので、紅葉、紅葉など紅葉見ていただいて、あと白兎神社ですね、因幡の白兎で有名な白兎神社に行っていただいて、あとJAのお土産屋さんで。,カスタマー: 鳥取の、名物のお酒ですとか、お土産、海産物…ですね。こちらで買われるのも良いかなーと思いますけれども。
オペレーター: サンポウロクでございますね。,オペレーター: お客様…,カスタマー: 一、二、三の、三にー、
オペレーター: ではこちらが清酒会津ほまれを醸造する、大正7年創業の、ほまれ酒造内にある、蔵元直営店となってます。,オペレーター: 平成27年の世界的なワイン品評会である、IWCの酒部門において最高位のチャンピオンサケを受賞し、世界一の称号を得た蔵となっております。また、,カスタマー: わ、ワインで？
オペレーター: なるほどなるほどー。,オペレーター: かしこまりまし、奈良県、の方に移動してみますねー。,カスタマー: <>いします。
オペレーター: とかが、メインに出てくるって感じなんですけど。,オペレーター: こーいったお店はいかがですか?炭火焼料理ですね。,カスタマー: 炭火焼、すごくいいんで、そこは、夜、行きたいかなと思いますね。
オペレーター: ただし、常設展はないので、まだ何をされてるかは分からないんですよね。,オペレーター: はい。,カスタマー: でも、い、行けば何かやってるんでしょうね？当然ね。
オペレーター: こちらですと海鮮を使った天丼？,オペレーター: 天丼天ぷらですね。,カスタマー: 天ぷら。
オペレーター: なんていえばいいのかな、橋桁のようなものが、巨大な橋が、<>。,オペレーター: 橋。,カスタマー: そっか、そういうものが。
オペレーター: 写真で見るかん、感じだと、ちょっとうす、薄暗くて雰囲気良さげな、店内写真があって。,オペレーター: 空間デザイナーさんがて、お店の空間を。,カスタマー: いいですね、それ。
オペレーター: 立ち寄り温泉という、いった感じですね。,オペレーター: そうですね、スーパー銭湯みたいな、感じですね。,カスタマー: 私和歌山ってー、なんて言うんですか、交通の便とかそういうのがよくわかんないんですけどー。
オペレーター: そうだ、同じですよ、同じです、,オペレーター: この同じビルの地下1階にございますので、立ち寄ってみてください。,カスタマー: はい、ありがとうございます。
オペレーター: 食べ歩き、牛食べ歩きして。,オペレーター: 口の中、リセットじゃないですけど、サッパリ、させてもいいかなっていう。,カスタマー: かー、もしくはその最初の一店舗目を、そっちの三番目のものに変えーてー、那須とー、日光の二つにするか、もしくは日光の中で、食べ歩きみたいなので、回るみたいなのも、<>かなーって感じはしますねー。
オペレーター: こちらチェック入れときますか？それとも<>。,オペレーター: こちらでよろしいですか？,カスタマー: ソーキそば。
オペレーター: そーいったところがあるんですけれども、冬、冬とは違いますもんね、こちら。,オペレーター: そうですねー。,カスタマー: でも、松島は、名前聞いただけで風景が。
オペレーター: で麺は、4日間かけて、麺を、うどんの麺を、打っており、天然、し、の塩や使い、コシ、つやともに絶品となっております。,オペレーター: こちらの店とかいかがでしょうか？,カスタマー: 高松市内なら、行きやすいですし、なんとなく、お城見た前後とかで。
オペレーター: はい、これ八重山、じゃないんですけど、そういった、世界中の、昆虫を紹介しているはくぶ、あ、動物、しょ、しょ、昆虫館、昆虫館、珍しいんですけど。,オペレーター: 昆虫<>見る限り立派な建物なんですけども、こちら面白そうですよね。,カスタマー: 世界中からー、来てる昆虫があるんだ？
オペレーター: ご両親様が一緒ですんで、,オペレーター: こちら、そうですね、仙台で食べれるお店でございます。,カスタマー: 石巻でここがお薦めってお店、ありますかね?
オペレーター: イエス、YESNAMBAビル。,オペレーター: YESNAMBAビル。,カスタマー: ウエス…な、ウエス難波ビル？
オペレーター: ふふふ,オペレーター: いいですね、,カスタマー: それは
オペレーター: 少々お待ちください。チェックしますね。,オペレーター: メロンとか。,カスタマー: お好きですか。
オペレーター: 朝9時半から夕方4時半まで営業しております。,オペレーター: 夕方に閉まってしまう感じとなっておりますね。,カスタマー: じゃあ、さ、げつ、じゃ、火曜日に行けばベストですね。
オペレーター: そうですね。デミグラスソースがかかって…。,オペレーター: とかはどうー、ですかね。それよりはさっきの方が良いのかな。,カスタマー: まあ夜やっ、夜も、昼も、昼も夜もやってるー、ステーキレストランみたいな、所にも<>な<>ね。
オペレーター: えちご川口温泉というのがございますけれども、そちらですと、露天風呂の写真が出ておりまして、<>がいい感じなんですけれども。,オペレーター: 立ち寄り温泉なので、入ってからまた出て、また遊びに行くということも可能ですし、大浴場だと大展望、ん、露天風呂みたいなのがあって、すごく有名らしいんですけれども。,カスタマー: 有名ね。
オペレーター: じゃがたらお春という品名でございまして、そういった焼酎がございますけれども、ご興味ありますか？じゃがいもの焼酎。,オペレーター: 珍しいですよね。でこちらな、日本最西端、一番み、西ですね。一番西の造り酒屋さん…となっておりまして、じゃがたらお春といった焼酎がございます、すいませんなかなか案内不足で。,カスタマー: いやいや全然。
オペレーター: ただお子様お並びになるの結構きついかなとも思いますので、そういった点では景色がきれいなところとか。,オペレーター: あるいは老舗のお店とか、そういったところがおすすめとなります。,カスタマー: ありがとうございます。であれば、老舗のところが非常に気になるので。
オペレーター: 海鮮もかなり扱ってる。,オペレーター: 例えば蟹ってお好きですか？,カスタマー: エビも蟹も、
オペレーター: こちらはいかがですか？,オペレーター: <>,カスタマー: 沖縄っぽいもの買えそうですよね？そこで。
オペレーター: あ、じゃあ、えーと,オペレーター: 丼ものとかお好きーですか？,カスタマー: ああ、そうですね。丼とかいいかも。
オペレーター: じゃ、こちらチェックしておきますね。,オペレーター: お食事とかは、いかがですか。,カスタマー: そこに午前中に、じゃ行って。
オペレーター: なかなか良さそうなお店で、ではございますけれども。,オペレーター: ございます、そうですね。,カスタマー: さっきのお店より、種類いろいろありそうですか？メニューの、幅というか。
オペレーター: 白エビタンメンとか。,オペレーター: 白エビ海鮮丼。,カスタマー: 海鮮丼はいいな。
オペレーター: じゃあ、一応ここも…。,オペレーター: <>だけじゃ、つまらないですもんね、せっかくでしたら<>色んな所見て、周ったら楽しいんじゃないかなって思われますね。,カスタマー: そうだね、そうなんですよね。
オペレーター: 屋形船に乗ったりすることもできます。,オペレーター: と、こちらは、屋形船は10時から15時で。,カスタマー: 1時間ごとに出発していますので。
オペレーター: ていうその、選び放題ではあると思うんですけど。,オペレーター: こちらどうしましょう、先ほどのお店よりはこちらの方がいいですか？,カスタマー: 後の方がいいですね。
オペレーター: で、あとは、ヒマワリをご覧になることができまして、あと、札幌ラーメンを食べたり、,オペレーター: こちらで過ごすことが、できます。,カスタマー: いえ、大丈夫です。
オペレーター: 八戸を食べよう！ことぶき庵、こちらを一応、チェックさせていただきますね。,オペレーター: 温泉はいかがします？この辺で温泉探しますか。,カスタマー: そうですね、近場、近くにありますか。
オペレーター: ちょっと懐石っぽいお店になるので。,オペレーター: 皆さんでわいわいがやがや楽しむのはちょうど、ちゃんぽんぐらいがいいのかなという気はしますけれども。,カスタマー: 海であればやっぱりちゃんぽんかなって思います。
オペレーター: テーマパークですね。,オペレーター: そちらがございまして、大きな池があって。,カスタマー: アニマルランドとかがあるんですけれども。
オペレーター: 民謡みたいな感じので。,オペレーター: そういった写真は載ってないんですけど、おそらくそういう、ライブも楽しめるみたいな、お店みたいですね。,カスタマー: 食べたいものを押さえてて、いいかなぁって思いました。
オペレーター: 勧進帳はー、の、歌舞伎みたいなやつですね、,オペレーター: の、て、展示をしている<>ですね。,カスタマー: 展示か。
オペレーター: 申し訳ないです、,オペレーター: ありがとうございましたー。,カスタマー: フフ、ありがとうございましたー。
オペレーター: そうですね。,オペレーター: 川でシュノーケリングって、なかなか聞かないですね。,カスタマー: 面白いですよね。
オペレーター: ギリギリか過ぎるかなって気もするんですけれども。,オペレーター: 一応そういう花の時期っていう、ことらしいですけど。,カスタマー: そんな3万株でしたっけ。それが、い。
オペレーター: はい。,オペレーター: と、ライオンとか、います。,カスタマー: じゃあ、なんか、食事とかするのにお金がかかるってことですかね。
オペレーター: 何人さまでいらっしゃいますか。,オペレーター: お子さまは、じゃあ、お二人でよろしいですか。,カスタマー: そうですね。夫と子どもが2人と。
オペレーター: こちらもですね、札幌市内にございましてー。,オペレーター: で、こちらがですね、ネタは毎朝市場で旬のものを。,カスタマー: えー！毎日。
オペレーター: で、こちらですね、島なので船に乗るんですけれども。,オペレーター: ご、船酔いとかは大丈夫ですか？,カスタマー: それは大丈夫です。
オペレーター: 閉店日が日曜日なんですけれども。,オペレーター: いかがですか？三宮なので近いですね。,カスタマー: なんか他の。
オペレーター: あるいは、お食事とかお買い物の場所を探すか、どちらがよろしいですか？,オペレーター: かしこまりました。,カスタマー: 特にないですね。<>
オペレーター: ふれあえるかはわから、野生の、動物なんですけど。,オペレーター: エゾリスや、オオウバユリ、など。,カスタマー: オオウバユリ。
オペレーター: お調べしましたところ干物？,オペレーター: 干物はお好きですか？,カスタマー: はい好きです。
オペレーター: 日本酒を飲みながら、魚介類を存分に堪能できるって、書いてますね。,オペレーター: こちら、夜だけになってしまうんですけれども,カスタマー: 夜。
オペレーター: はい。,オペレーター: そういう、な、もの、豚がいて、豚の鍋でございます。,カスタマー: 豚の鍋。
オペレーター: 地元の人向けに、作ってるお店になりますのでー。,オペレーター: もし食べられるのでーあれば、そういった方が良い…ですよね？,カスタマー: なんかオススメみたいなのってあるんですかそこのー…、名物～…。
オペレーター: その意味では結構こちらもオススメかなーという、感じはしますしー。,オペレーター: こちらですねー。見学自由なのは、外観から、っていう風になっておりましてー、やはり中に入ることにはちょっと、まあまた別の許可が要るのかなーという。,カスタマー: 外観、
オペレーター: 賑やかそーなんで、逆に、この辺を外した方が、いいのかもしれない。,オペレーター: <>営業時間が、9時から16時、こちら、菜の花大迷路とゆーことが、書かれてるんで、迷路みたいな感じで、入れる。,カスタマー: 入れそーですね、迷路の中、いいな。
オペレーター: 店内の写真は見えないんですが、こちらで航空写真、空からの、地図の写真を確認したところ、どちらともとれないんですけど、おそらく普通の、普通のというか、民家っぽい瓦屋根っていうんですかね、そういった形なので、そういったただのイベント会場って形、感じではなさそうですね。,オペレーター: 地元のお店じゃないけど、そういったところってことですよね。,カスタマー: 外見はいいんですけど、なか、なかがね、どんな感じかなって、興味があったので。
オペレーター: 神社です。,オペレーター: はーい。,カスタマー: それー、まそれもあ行く。
オペレーター: ご興味ございますか？,オペレーター: 確かに。,カスタマー: 春先、春先どうなんだろう？
オペレーター: 護国寺、ですね。,オペレーター: こちらは、波上宮の南隣に立つ、沖縄に現存する、最古の寺となっております。,カスタマー: へえー。
オペレーター: すごい飛んじゃうんですけども。,オペレーター: 福岡のほうにある。,カスタマー: 福岡、
オペレーター: 温泉はいかがします？この辺で温泉探しますか。,オペレーター: 今、探してますね。,カスタマー: 古びた感じの温泉街みたいなところ、そんなとこありますか。
オペレーター: <>,オペレーター: 映画に出てきたって、な、映画を見ながら食べるのもいいかもしれないですねー。,カスタマー: あはははー。
オペレーター: で、その後でー、地元のお野菜を使った野菜の庄の家庭料理菜ぁでお昼ご飯をお召し上がりになって、で、菅家庭園でお庭をご覧になって、でその後、足湯カフェチットモッシェで、こちら、足湯に浸かりながらスイーツを食べて、そしてお夕食が寿司割烹鈴雅さん、で、地元のお魚のセットをお召し上がりになる。,オペレーター: で、お土産が大山に行ってお買い求めになるということでよろしいでしょうか。,カスタマー: ありがとうございます、お願いします。
オペレーター: そういったお店もございます。,オペレーター: あと何か買いたいものとか…ご要望はございますか？,カスタマー: 鳥取の…有名なお土産とかをあんまり知らなくて、あれば、良いお土産とかがあれば教えてほしいですね。
オペレーター: ちょっと時期が違うんですけれども、菖蒲が綺麗な場所ですとかー。,オペレーター: そーいったところがあるんですけれども、冬、冬とは違いますもんね、こちら。,カスタマー: 仙台は少ないんですかね、ははは、
オペレーター: <>。,オペレーター: 体験も、出てこないです。,カスタマー: ウフフ。
オペレーター: で、こちらですね、ナイトクルーズが特におすすめだそうで。,オペレーター: ライトアップされた石造りの倉庫群がムードたっぷりと書いてあります。フフフ。,カスタマー: アハハ、ハハ。
オペレーター: そうですね、かなりその地元の人とのふれあいはあるかなーって。,オペレーター: こういったのもどうですか？,カスタマー: 面白そうでいいと思います。
オペレーター: やラムの生ハム。,オペレーター: なんか、ここは夜のみにはなっちゃう。,カスタマー: 夜のみなんですね、
オペレーター: 天丼もございまして。,オペレーター: こちらもなかなかはい宜しいかと思うんですね,カスタマー: 妹と天丼と海鮮丼一個ずつ頼んで、ちょっとわけようかなと。
オペレーター: すいません、今、何をやってるかというデータがこちらの、検索ツールでは出てきてなくて。,オペレーター: ちょっとその情報が。,カスタマー: じゃ、じゃあ、企画展が何でもちょっと行ってみたい、興味あるんで。
オペレーター: もし行かれるのであれば、調べていただいて、でん、電話とかで聞いて<>。,オペレーター: そうですね、確認したほうが、良いかと思いますね。,カスタマー: 聞いてみます。
オペレーター: 一応こちらが、駅ビルの中にあるお店みたいなんですけど、本場の地鶏を味わえるお店となっていまして、イチオシは肉も卵も比内地鶏を使った、究極の親子丼…。,オペレーター: 比内地鶏の皮を軽くビチョウタンで、備長炭で焼いて、炙っている…いるから焼き鳥のように香ばしく、とろとろの卵と一緒にご飯がすすむという。どっちかって言うと、お昼ご飯とかにいいのかもしれないですけど。,カスタマー: それー、是非、
オペレーター: こちら注文受けてから炊くので三十分ほどお時間はかかるんですけど、そのかわり炊き立てのものが食べられます。,オペレーター: こういったのって、お好きですか？,カスタマー: そうですね、なんか美味しそうな感じがします。
オペレーター: そうですね、いろいろなものがー見たりとかーできると思いますし、またー他の所に足を延ばされてもいんじゃないかなーと思いますので。,オペレーター: 一応チェックだけ入れときますか？,カスタマー: 何日目かに、行ってみたいな、と思います。
オペレーター: <>,オペレーター: それはですね、利尻昆布にのせて焼く松前焼き<>お客様の代わりに私の方でお写真の方、拝見しておりますけれども、とても美味しそうです。,カスタマー: そうですかー、じゃあ是非、オペレ、オペレーターさんおすすめのこのコースが食べてみたいです。
オペレーター: ふふふ,オペレーター: いいですね、,カスタマー: パフェではなくてー、アイスクリーム、なんですね。
オペレーター: お寺の跡ですとかー、そういったものも今見つかってますけど。,オペレーター: <>,カスタマー: お、お寺がー…、<>、那覇市にあるんー…、ですか。
オペレーター: 洞窟？,オペレーター: 春先<>ましたよ。,カスタマー: そうですそうです。
オペレーター: で、,オペレーター: 自然公園の方が、野幌森林公園の方が、札幌の右、真横というか、真右。,カスタマー: 真横あたりってことですね。
