one_previous_utterance,previous_operator_utterance,current_utterance
オペレーター: はい。,オペレーター: はい、なんかお昼で<>はい、美味しいお肉とか。,カスタマー: あ、<>。
オペレーター: こちらあの温泉し、施設ですね。あのスーパー銭湯みたいな感じのあのー温泉施設で。はい。で道の駅となっておりますので一階はお土産屋さんとかがございます。,オペレーター: んー。,カスタマー: はい。で最上階の5階にろ、えーと展望浴場がありまして、はい。あの陸奥湾ですね青森のむつ湾を眺めながらはい入れる温泉もございます。
オペレーター: あのー、いろんな料理を少しずつお楽しみいただける、プリフィックスコース、のようなものもあるんですね。,オペレーター: はい。,カスタマー: あ、うんー、なるほど、はい。
オペレーター: で、あ、ごめんなさい、11月から2月、冬の間が16時までです。夕方の4時まで,オペレーター: はい,カスタマー: になってますので、ま、昼間行けば大丈夫ですね
カスタマー: はい。,オペレーター: はい、えーっとですね、何件か、見つかってますので、いくつかこちらでご紹介させていただいてもよろしいでしょうか？,カスタマー: はい、あ、はい、お願いします。
カスタマー: はい。はい。,オペレーター: お客様お好み、最初は和風だったと思うんですけれども。<>ですかね。,カスタマー: ええええ。
オペレーター: しかもですねー、キリストの生涯を描いたステンドグラスとかも、美しくて…。,オペレーター: あっ、ステンドグラス良いですね。やっぱりそういうの見たいですー。,カスタマー: はい。
カスタマー: うんうん。,オペレーター: はい、食べさせてくれるお店となっております、はい。でこちらそうですね、あのーえーっと太麺の3種類から麺が選べまして。,カスタマー: うん。
オペレーター: かしこまりました。ただいまお調べいたしますので少々お待ちください。,オペレーター: はい。,カスタマー: はい。大変お待たせいたしました。えーとですね、こちらで、あのー、確認をしましたところ、えーと、札幌藻岩山ロープウェーとございまして。
オペレーター: あのー、ひとつ出てきたんですけれども。,オペレーター: はい。,カスタマー: あのー、小木曽商店本店っていうところがあるんですが。
カスタマー: はい、大丈夫です。,オペレーター: はい、かしこまりました、はいでは、お読み上げいた、いたします。,カスタマー: えー、0112220018、はい、復唱させていただきます、011、えー、222、えー、0018となっております。
カスタマー: 福助。,オペレーター: ええ、こちらが、そうですね、こちらも仙台市内にございます。,カスタマー: ふーん。
オペレーター: ハモとかー、夏はハモで、あとは、すっぽんとかは、そのー、ふぐとか、ふぐとかいかがですか？,オペレーター: あ、あの、いいですねー。,カスタマー: また、ちょうど行くのが、えーと、冬なので、えと、セイゴインダイコンですかね、を使ったお料理とかがあるんですけども、ええ。
カスタマー: ふーん。,オペレーター: ですから一応町中なんだとは思われるんですけど、周りには色々店が、ローソンとかホテルとか、色々ありますね。,カスタマー: 地図の中に色々とあの、国際通りとかがあの、近いですね。
オペレーター: んー、あと、ま、女性にお勧めって書いてあるんですけど、あの、あんま疲れないかな。,オペレーター: うんうん。,カスタマー: ていうような部分ではいいかと思われるんです。
カスタマー: はい。,オペレーター: 他にもですね、あのー、例えばなんですけれども、あのー。,カスタマー: はい。
カスタマー: まぁとりあえず今まで話したもので組み合わせるんだったらなんか一日目はそういう形にして、,オペレーター: うんなんかその、二日目の方に例えばさっきのま動物園をこう<>設定するとか,カスタマー: うん
カスタマー: そうですねーもしずらす、ずらすでもちょっと考えてみて。,オペレーター: うんうん。,カスタマー: もし二つともなんかそういう感じであれば、あえて4月じゃなくて5月。
カスタマー: 同じですか？,オペレーター: もうこの同じビルの地下1階にございますので、あの、立ち寄ってみてください。,カスタマー: うん。
カスタマー: そうですね、まぁゆっくりできる所であれば、ちょっとなんか、オススメみたいな物を聞きたいなっていう様な、まぁちょっと思いで、まぁちょっときい、はい、お願いしたいです。,オペレーター: はい、はい、あっはい、はい、かしこまりました。例えば、あの温泉でゆっくりしたいですとか、何か観光したいですとかそういったご要望はございますか？,カスタマー: うんうん。
オペレーター: スーッ。,オペレーター: はい。,カスタマー: なんという字なん…、ちょっとあの…、説明出来ないんですけどー、まあこちらが。
オペレーター: あ、わかりました、一応営業時間の方は、あの朝の10時から夕方の17時まで、3月から、ここ、あの9月はいつも18時まででございます。,オペレーター: あ、わかりました。一応あの夏のご希望なので、あのー18時までやってます。,カスタマー: 閉店日はございま、あの不定休になっておりますので、あのそこだけご注意ください。
カスタマー: ネズミなんだ。,オペレーター: はい。,カスタマー: すごい大きなネズミ。
カスタマー: ほー。,オペレーター: それかー、あと沖縄まあ沖縄家庭料理の…、お店とまあ泡盛がお楽しみなれるよう…、まあ居酒屋のような、場所…。,カスタマー: うんー。
カスタマー: そうですねー。あのー、古いー所。で、なんかこう戦…、災でー、い、い、いち、一部残っているとかー、なんか、焼け焦げ…、たけども、んぐ、んまあ、そこだけ残ってるとか、あと、なんか、ステンドグラス、がー…、あるとかー、そういうのー、良いですね。,オペレーター: ええ。,カスタマー: ええ、ええ。
オペレーター: はい。フフフフ。,オペレーター: そうですね。なかなか、こちらも、はい、よろしいかと思うんですけど。,カスタマー: はい。
オペレーター: はい。じゃ、こういったほうがご興味ありますかね？,オペレーター: そうですね。,カスタマー: はい。じゃあ、えっと、さっきの、先ほどの真鍋庭園さんと併せて、こちらもご案内って形でさせていただきます。
オペレーター: あのー、北海道の、その、ひ、えーと、自然公園？,オペレーター: はい。,カスタマー: はい、こちらであの、公園、あの広いんですけれども。
カスタマー: そういうの<>は。,オペレーター: はい。,カスタマー: 結構好きではあります。
カスタマー: ううん。,オペレーター: そうですね。,カスタマー: <>とかもー、あのー、ね、天気が良ければ、荒俣峡とかは素晴らしいんじゃないかなと思うんですけれども。
オペレーター: あと、あの、那智黒？那智黒…ってご存じですかね？,オペレーター: なんでしょう？フフフ。,カスタマー: あのー。
カスタマー: はい,オペレーター: お客様、大変お待たせいたしました。,カスタマー: はい
オペレーター: どちらの方がいいですか？,オペレーター: そうですねー、まずとりあえず海がみたいので、なんか伊豆とかの方かなー。,カスタマー: はい。
オペレーター: 一応こちらがぴったりなんじゃないかなーという場所がございまして。,オペレーター: はい。,カスタマー: えーと、二条市場。
カスタマー: はっ、そういう雰囲気のところがいいですね、はい。,オペレーター: ええ、ええ、こちらがですね、えーと、沖縄家庭料理の店が、えーと、ま、いくつか。,カスタマー: うん、うん。
オペレーター: うん。札幌ラーメンとかも、はい、食べることができます。,オペレーター: 大変便利なところでございますね。はい。,カスタマー: あー。
カスタマー: うんうん。,オペレーター: あの1日ゆっくりはい楽しめるところがありますので。,カスタマー: うん。
オペレーター: 少々お待ちくださいね。こちら、アンノイエというところがあるんですけれども、こちらお客様ご存知でしょうか？,オペレーター: アンノイエですか？,カスタマー: ええ。
カスタマー: え？,オペレーター: 荒俣峡、荒俣峡。,カスタマー: 荒俣峡。
カスタマー: あ、すごいですね。,オペレーター: あのー、いかがでしょうか、なんかすごく面白そう、<>なんですけど面白そうですね。ふんふんふん。,カスタマー: そこはーもう、はい。
カスタマー: はい。,オペレーター: ご友人と3名様ですね、はい。,カスタマー: はい。
カスタマー: はい。,オペレーター: 世界遺産、長崎ございましてー、で、まあ世界遺産の名称が、長崎と天草地方の、潜伏キリシタン関連遺産、というのがあってー。,カスタマー: はい。
オペレーター: 要予約はお昼。,オペレーター: お昼食べるの、仮にお昼だと要予約。,カスタマー: あー。
オペレーター: えー、富良野の農家で育った店主のこだわり野菜をふんだんに使ったスープカレーが絶品とのことです。,オペレーター: 特徴マイルドでコクのあるスープは、スープカレー初心者でも食べやすいものとなっております。,カスタマー: ほー。
オペレーター: そのマングローブの、えー、マングローブが出てきたんですけども。,オペレーター: うんうん。,カスタマー: こちら、マングローブ、マングローブパーク施設っていうのが近くにあって。
カスタマー: うんうん。いいですねー。,オペレーター: じゃあ、こちらも興味ありますか？,カスタマー: あります。
オペレーター: えーと、こちらがー、黒豚しゃぶしゃぶ発祥のお店となっております。,オペレーター: へー。,カスタマー: で、えーと、じょうし、えーと、上質の鹿児島黒豚が味わえるお店で、<>秘伝のスープで食べる黒豚しゃぶしゃぶが4320円から、とこちら、しゃぶしゃぶのランチもあるみたいです。あとお昼はとんかつ、お昼のみなのかな、お昼はとんかつランチが1000円から<>。
オペレーター: うんうん。,オペレーター: す、あー、古い大木ですか、それはぜひ見たいなと思ってますね。,カスタマー: 木ですね。
オペレーター: あ,オペレーター: それは良かったですー。,カスタマー: 一応、こちら、そうですね、えーと、閉店日とかもなくて、無休でいつでも入れるような感じになっているみたいなのでー
カスタマー: はい。,オペレーター: 鯛きち、はい。ええ、はい。,カスタマー: であとですね、あともう一軒ですね、今申し上げました、玉澤総本店、晴れの菓店のほうに行かれるということで。
オペレーター: はい、あの、スプラッシュインと書いてありますけど。フフフ。,オペレーター: フフフフ、楽しそう。それ、なんか乗りたいと思ってたんですけど。大阪にあるの知らなかったです。,カスタマー: ええ。
オペレーター: はい。,オペレーター: あったりしますかね？お土産屋さん。,カスタマー: あ、はい。ただ今、お調べいたします。少々お待ちください。
カスタマー: あー。,オペレーター: ま、定食のほうがいいかなー、なんかちょっと気が変わったときに、うーん。,カスタマー: なるほどー、ええー、あ、そうですよね。
カスタマー: へー。,オペレーター: いかがですかね。,カスタマー: それ、楽しそうですね。んー。
オペレーター: こんにちは。本日はご利用いただきましてありがとうございます。お客様、どのようなご旅行をお考えでしょうか。,オペレーター: あ、はい。えーと、京都周辺を、えっとー冬の季節に、えーと恋人と2人で行きたいなというふうに思っています。,カスタマー: はい。はい。はい。かしこまりました。
カスタマー: はい、ありがとうございます、はい、そうですね。,オペレーター: ですので、ま、なるべく余裕をもって行動していただければ、えーと、問題ないかと思います。,カスタマー: はーい。
オペレーター: まずえーっと、温泉はえー、サヌキロテン風呂というお店に行って,オペレーター: そのあとに、えー、高松城を見学なさって,カスタマー: はい。
オペレーター: 泡盛は…、のー…まれます？,オペレーター: 飲みますー。,カスタマー: うんー。
カスタマー: はい。,オペレーター: で、こちらあの申し上げました通りビュッフェスタイルとなっておりますし。,カスタマー: あとケーキなどもございますので、もしかするとあの奥様甘いものお好きですと、こちら喜んでいただけるかなと思いました。
オペレーター: はい。後ですね、あのー。,オペレーター: はい、お願いします。,カスタマー: はい。あと、ただ、あのー、海を眺めるというか、あの、散策といったところではですね。
オペレーター: じゃちょっと、な、いい景色というとやっぱ自然、スポット的な場所がよろしいですかね？,オペレーター: そうですね、自然か、あとは。,カスタマー: ええ、ええ。
オペレーター: はい、本日はご利用いただきまして、ありがとうございます。お客様、どのようなご旅行を希望でしょうか？,オペレーター: そうですね、ちょっと九州が行ったことが無くて、ちょっと今度卒業旅行みたいな感じで行きたいなって思っているので、ちょっとどういった所が良いかなっていうのをお聞きしたいです。,カスタマー: はい、はい、えぇえぇ、はい、はい、はい、あっかしこまりました。はい、お客様卒業旅行となりますと、あのー春頃に行かれるんですかね？
オペレーター: はい、こちらいかがでしょうか？,オペレーター: そっちー、200種っていうのは結構すごいなって思って、はい。,カスタマー: そうですね、ちょっと、ほとんど見れるぐらいの感じですもんね。
オペレーター: はい。,オペレーター: やっぱり和歌山も地酒のなんか蔵って結構いくつかあるんですかね？,カスタマー: そうですね、お調べしましょうかね。出てくるといいんですけども。
カスタマー: おーちょっとお得ですね、うーん。,オペレーター: で、えっと最後に、先程最後にご案内したひげのうしさんが、えーっと。,カスタマー: ひげの、はい、ひげのうし。
オペレーター: ま、ベビーカーが10台、車いすもあるっていうことで。,オペレーター: はい。はい。,カスタマー: これも無料で貸し出されますので。
オペレーター: 月曜日からへい、閉館するのは、えっとー月曜日から金曜日ですね、あまぁあのー、祝日とか日曜日とかが営業、土日ですね、営業されてますので、そのへんはご注意ください。,オペレーター: ふんふんふんふん。,カスタマー: あ、わかりました。
カスタマー: 昆虫館？,オペレーター: 昆虫館、あ、昆虫ーあのー、き、嫌いではないけども、行ってみたいよね。,カスタマー: お好きですか？
オペレーター: ではちょっとこう、ドタバタしてしまったんですけど、ありがとうございました。,オペレーター: いえいえいえ。,カスタマー: えっと、スエヒロを最後に行っておしまいということでよろしくお願いいたします。
オペレーター: あの、昼間、なにか、なくー、したいものとかがあれば、探しますけれども。,オペレーター: えー、はい。,カスタマー: はい。
カスタマー: あー、なるほどなるほど。,オペレーター: あのー、三嶋大明神を祀ると書いてありますね。,カスタマー: うんうん。
オペレーター: はい。,オペレーター: そうなんですね、はい。,カスタマー: <>、あ、もしかして、卓球とか、そういうのじゃないよね。
オペレーター: お寺とかー…。,オペレーター: え？,カスタマー: お寺とか、あとはあの、お花見ができそうなところもあるんですけれども。
オペレーター: 湖だそうです。,オペレーター: へー。,カスタマー: はい。こちらもあのよろしければはいオススメしたいんですけれどもいかがですか？
カスタマー: なんか赤とか白とかこうなんかあれですか、こう有名、なんだろ、人気のあるのってわかるんですか、あるんすかなんか、そこは<>。,オペレーター: それが、載ってなくてですね、た、写真もちょっと載ってないので。,カスタマー: 載ってなくて、ふーん。
カスタマー: はい。,オペレーター: あのー、そうですね、サービスエリアとか。,カスタマー: はい。
カスタマー: はい。,オペレーター: <>ますかね。,カスタマー: はい、そこが一番、いいですね。
オペレーター: はい。,オペレーター: あとは、お土産とかはいかがで…すか？<>ますか？,カスタマー: 土産ね。
オペレーター: はい。,オペレーター: ありがとうございました。,カスタマー: はい、ありがとうございます。
カスタマー: あぁー。,オペレーター: うんー。,カスタマー: うんうんうん。
オペレーター: 営業時間が9時から11時と、13時から15時30分の間で30分刻みでさ、見学がさ、スタートされます。,オペレーター: ん－。,カスタマー: はい。
カスタマー: 良いですねー。,オペレーター: うん。,カスタマー: で、お休みもないのでー。
カスタマー: はあ。,オペレーター: で、えー、推定樹齢が約3000年。,カスタマー: うん。
オペレーター: はい。あのー、見晴らしがいいところにございます。,オペレーター: うんうんうん、へー。,カスタマー: はーい。はい。えーと、すいません。そうしますと、ちょっと内容をまとめさせていただきますと。
オペレーター: ですので、ええ、お客様のご希望教えていただければと思います。,オペレーター: えーと、会社の職場と、あと親戚に持って帰るお土産を選びたいので。,カスタマー: ええ。ええ。ええ。ええ、ええ。ええ。
カスタマー: ふーん、はい。,オペレーター: はーい。あと、お客様の方で何か見てみたいですとか、か、買いたいものですとか、ご要望はございますか？,カスタマー: うんうん。
オペレーター: そうしますとですね。,オペレーター: はい。,カスタマー: 例えばなんですけれども、ショッピングセンターみたいなところがよろしいですかね？
カスタマー: そうですね、はい。行けるんだったらその日で調整してもらえればと思うんですけど,オペレーター: 一応こちら候補の一つとしてメモだけと、取らせてもらいます,カスタマー: はい
カスタマー: はい。,オペレーター: そうですね、例えばなんですけど、味噌ラーメンの、よし乃さんというお店がございまして。,カスタマー: はい。
オペレーター: スーッ…、えーと…、ちょっとお待ち下さい。,オペレーター: はい。,カスタマー: 陶芸で調べるか。
オペレーター: 幹の先端は白骨化しており、樹上にはヤマグルマやヒノキなどが着床している。,オペレーター: うん。,カスタマー: こちらですかね？
オペレーター: あの、本物の舞妓さんが着用していた着物で舞妓体験をできまして。で、メイク着付けは全てプロの女性スタッフの方が、はい、あのー、やっていただいて。,オペレーター: うん。,カスタマー: うんうん。
カスタマー: どんなもの？,オペレーター: 両親もせっかくいるので、ちょっと、なんか、豪華な…豪華なっていうのあれですけど、ものが食べたいかなと思うんですけどー。,カスタマー: はい。
カスタマー: えー。知らなかったです。,オペレーター: ええ。,カスタマー: はい。で、こ…。
オペレーター: かしこまりました。ではお客様、沖縄といえばなんですけれども、紅芋というさつまいもがございます。,オペレーター: あっ。,カスタマー: ええ、お客様聞いたことはございますでしょうか。
カスタマー: うーん。,オペレーター: はい、こちらもそうですね、夕方5時からの営業となっておりますね。,カスタマー: うーん。
オペレーター: あの、この辺、あのー、散策していただくのも楽しいですし、あと、こちらの、あの、テレビ塔の上に上ってみるのも、あの、楽しいかと、おも、思います。,オペレーター: うーん。うん。,カスタマー: で、こちらがですね、あのー、札幌でも有数の展望スポットとなっておりまして、あのー、中で、おみ、お土産がたくさん売ってるんですね。
オペレーター: それともなんか、こう、たとえば岬のような場所でしたりとか。,オペレーター: うん、うん。,カスタマー: ま、海を、見るとなると、けっこういろんなしゅ、えと、種類というか、あると思うんですね。
カスタマー: 九州で有名なとかってあったりしますかね？,オペレーター: はい、はい、はい、はい、ただいまお調べいたしまーす。,カスタマー: はい、そうですね、はい、少々お待ちくださいすいません。
カスタマー: うん、うん。,オペレーター: はい。,カスタマー: 何かこう、函館でいい、お勧めのスポットとかありますか。
カスタマー: はい。,オペレーター: 例えばなんですけれども、あのー、ゾウさんですとか、あと、あのー。,カスタマー: はい。
オペレーター: うんうんうん、あのー。,オペレーター: えーっとですね、ま、何個かあるんですけど。,カスタマー: はい。
オペレーター: はい。,オペレーター: ま、さ、え？まあ、し？4月だと、もう雪が、まあ、ね、あっちのほうは溶けて、降ってないから、スキーは多分無理、な、無いの…。,カスタマー: はーい。
カスタマー: はい。,オペレーター: はい、お土産に買われても宜しいかなと思います。,カスタマー: はい。
オペレーター: まず一つ目出てきたのが。,オペレーター: あのー富山の郷土料理お調べして、出てきたのが。,カスタマー: えー地元名物の白エビメニュー。
オペレーター: あのー、じゃあ、てん、そういう歴史ものというよりは。,オペレーター: そうですね。うん。,カスタマー: あのー、子どもが遊べるような所っていう。
カスタマー: あー<>、いえ、あ、はい。,オペレーター: はい、<>お待たせいたしております、えーと、ちょっと食べ歩きとは外れるかもしれないんですけど、例えば、えーと、さ、えーと、おおしょ、北海道名物のなんかスープカレーとかのお店もいくつかあるんですが、スープカレーとかってご興味おありですか？,カスタマー: はい、はい、へー。
オペレーター: 護国寺、ですね。,オペレーター: はっ。,カスタマー: こちらは、えーっと、波上宮の南隣に立つ、沖縄に現存する、え、最古の寺となっております。
カスタマー: あ、はい。お願いしまーす。,オペレーター: かしこまりました。ではですね、例えば卓袱料理というのをご存知でしょうか。,カスタマー: やー分からないです。
オペレーター: で、これもしかしたらさ、先程のお店よりいいかもしんないすけど。,オペレーター: 北海道産のまぁ、素材を使用したジンギスカン鍋とか。,カスタマー: ふーん、鍋？あーほうほうほう。
オペレーター: 地元食材…、ふんだんに使ったメニューが、人気なんで。,オペレーター: ううーんー。,カスタマー: ま、例えば、まあ、行った先で、やっぱお肉の気分じゃなかったな、っていうのも、全然変えられるので。
オペレーター: じゃああの。,オペレーター: 能登半島の方で、あのーお調べして。,カスタマー: えっと。
オペレーター: はい。,オペレーター: あとエステとかもあ<>,カスタマー: 見て楽しめる…
オペレーター: 特に、あのー、決まってないとのことなんですけれども。,オペレーター: はい。,カスタマー: 例えば何が見たいですとか、あのー、何かを食べたいですとか。
カスタマー: はい。,オペレーター: あのー、お店屋さんがたくさんございますので、はい。,カスタマー: はい。
オペレーター: はい。,オペレーター: はい。,カスタマー: こちらがですね、あのー、8時、朝の8時半から夜の8時まで、はい、あの、長い時間営業しておりますので、はい。
カスタマー: そうですね、北海道に行きたいなーと思ってます。,オペレーター: 北海道ですね。,カスタマー: ちなみに時期はいつごろでしょう？
オペレーター: はい。,オペレーター: 観光をしに行きたいと思ってます。,カスタマー: はい。
カスタマー: あ、そう。,オペレーター: だと思うんですけど。,カスタマー: はい。
カスタマー: うんうんうん。,オペレーター: 東京の新大久保に、お店がある、みたいで、ちょっとそれに次ぐ二店目ていうふうには書かれているんですけれども。,カスタマー: あー。
オペレーター: いかがですかね？こちらはあの、営業時間が10時から21時となっておりまして、あの、時間的にも余裕を持って、こう入ることができると思うんですけれども、いかがでしょうか？,オペレーター: ああ。,カスタマー: うん。
カスタマー: はい。はい。,オペレーター: こちらちょっとご案内したいと思うんですけれども、はい。こちらがですね、えーと。,カスタマー: はい。
オペレーター: 牛。,オペレーター: うーんと、そしたら、ちょっとお待ちください。,カスタマー: はいはい。
カスタマー: うんうん。うんうん。,オペレーター: それよりもまあ和食のお店だったらですね、また今度、ふぐとか。,カスタマー: ええ、ええ、ちょっと懐石っぽいお店になるので。
カスタマー: はい。,オペレーター: 京都ですね。少々お待ちください。,カスタマー: はい。
カスタマー: はい。,オペレーター: あー。,カスタマー: <>ちょっとしらけちゃうかな、うーん。
カスタマー: あ、ん、町が…,オペレーター: あ、テーマパーク、あ、江戸村みたいな…やつですかね？,カスタマー: ええ。
オペレーター: はい。例えばなんですけれども、えーと、鮨棗さんというお店がございまして。,オペレーター: はい。,カスタマー: はい。こちらがですね、えーと、札幌市内にございましてー。
カスタマー: はい。,オペレーター: お、ほー。,カスタマー: で、こちらーも札幌市内ですが、先ほどのお店がささ、えーと、札幌駅周辺だったんですけど、こっちのお店の方はすすきの駅が最寄りみたいですね。
オペレーター: えっと、現在の通天閣は昭和31年に造られた2代目になっておりまして、えーと展望台には、福のかみさ、神、ビリケンさんが安置されています。,オペレーター: うんうん。,カスタマー: あの、ビリケンさんとかって、あの、お好きですか？
カスタマー: ふーん。,オペレーター: は。,カスタマー: はい、こちらが、約6万平方メートルの
オペレーター: こちら、ま、創業43年になる大衆食堂、となっております。,オペレーター: どれも創業当時から変わらない、えー、地元向けの味付けの定番沖縄料理がメイン。,カスタマー: うん、うん。
カスタマー: はい。,オペレーター: はい。ですね。,カスタマー: スーパー銭湯ぽいのよりかはなんか、せっかくだから本格的な温泉の方がいいかな。はい。そうですね。そうですね。はい。
オペレーター: あの、ま一応書いてあるのが、あ、やっぱり干物がメインみたいな感じで。,オペレーター: あー、やっぱ有名なんですね、干物、そちらで、うんうん。,カスタマー: そうですね、あのー、有名のようですねこちらでは。
カスタマー: あ、そうですね。じゃあ昼食を、はい。,オペレーター: ええ、ええ。,カスタマー: はい。
オペレーター: なるほど、なるほど。,オペレーター: そうしましたら、じゃ、ビーチをちょっと、探しましょうか。,カスタマー: はい。
オペレーター: はい。あのりんご、の輪切りを、砂糖で煮て、乾燥させた薄紅というお菓子がございまして、はい。そういったものも有名ですし、あとあのパイですねりんごのパイ。,オペレーター: んー。,カスタマー: うん。の和風アップルパイとい、い、と言ったですねあのお菓子もあるお店屋さんがございまして、はい。こちらもあの宜しいかと思うんですけれども、はい。
オペレーター: 冬は大変山深いところですので、あのー雪で遊んだりとかですね。あのー季節ならではのあのーえーと、遊べる場所もございます。,オペレーター: はい。あ、はい。あ、いいですね。,カスタマー: はい。ええ、ええ。はい。
オペレーター: あ、はい、えと一応十時から二十時で、あのーへ、かい、あの閉店あのー。,オペレーター: あー。,カスタマー: 終わってしまうのが三十分前、十九時三十分なのでお気をつけてください。
オペレーター: ところに最初アンの家に行って,オペレーター: あっはい。,カスタマー: はい、その次にかまぼこ博物館お昼頃行って、お召し上がりになると
オペレーター: そうしますと、こちらで、えーと、おすすめしたいのが、えーと、北菓楼札幌エスタ店というお店がございます。,オペレーター: こちらが、えーと、まあ札幌駅に直結した、えーと、駅ビルの地下にある<>北海道を代表するお菓子屋さんで、えーと、大泉洋主演の映画で登場した、えー、北海道開拓おかきというものが有名みたいですね。,カスタマー: はい。
オペレーター: そうですね。こちらが。,オペレーター: それちょっとお値段の記載がないんですけど、一応紹介しましょうか？,カスタマー: はい。
オペレーター: エヘヘ。一応、なんか街の中にたくさんお店があって。,オペレーター: ええ。,カスタマー: あのー、歩きながら選んで、見ながら歩けるって<>。
オペレーター: そういったところで調節、あ、調整していただくのも、あの、あるかと思うんですけれども。,オペレーター: そうですね、ほ、他にですね、例えばなんですけれども。,カスタマー: はい。
オペレーター: ちょっと猿いたら怖いですかね、やっぱり。,オペレーター: いや、そんなことはないです、あのそんな癒し溢れるという話なので、そこらへんの動物も一緒に入ってんのかなと思っただけなんですけど。,カスタマー: あーなるほど。
オペレーター: はい。,オペレーター: こちらの方もちょっと気になるんですけれどもー、どういった所～です、かねー。,カスタマー: 琉球ガラスが…、えっと…。ちょっとお待ちください、ああ、あった。
オペレーター: はい。,オペレーター: お客様、たくさんございます。,カスタマー: はい。あはは。
カスタマー: うんうん。は、は、は。はい。,オペレーター: はい。で、こちらがですね、あのー、近くにはですね、あのー、国指定史跡の具志川城跡、具志川城跡がありまして。,カスタマー: うん。
オペレーター: そうですよね。うんうん。,オペレーター: そうですね。じゃあ、あの、この味噌ラーメンの、よし乃さんをお勧めいたしたいですね。,カスタマー: はい。
カスタマー: あー、そうなんですね、わかりました。,オペレーター: はい。,カスタマー: はい。
カスタマー: はい。,オペレーター: <>陶芸品の方が、あんまり見当たらないんで、もしかしたら、その今、えーと、鹿児島、桜島というエリアで検索<>、ちょっと離れたらあるかもしれないんですけど、一応検索してみます？,カスタマー: ええ、ええ。
オペレーター: はい。,オペレーター: うん、あの、もし、市内にもし、限らなくても、まー、ちょっと、乗り物、楽しみながら。,カスタマー: あ、そうですね。
オペレーター: あとはあのー、屋外のー、楽しむものになってしまう感じなのでー,オペレーター: はい。,カスタマー: やっぱりー、休みが入ってくると思うんですけれども。
オペレーター: あの、まあ一応これをご希望に近いんじゃないかなって思ったんです。,オペレーター: あ、そうですね。よさそうな気がします。うん。,カスタマー: じゃあここをチェックしておきますか？
オペレーター: はい、いかがですかね？2000円ぐらいーでして。,オペレーター: あ、はい。,カスタマー: えーと、で、<>と。
カスタマー: えこど、え、え、え、うんー。,オペレーター: えこ…フフッ、たぶん、えこ、フフッ、越後湯沢の公民館。市の公民館かな。町の公民館でー、やってる絵画展です。,カスタマー: はい。
オペレーター: で、あのーこちらあのー冬に行かれるとのことなので、あのー関係ないのですけれども、あの夏は、あの大文字焼きもこちらのお店から、ええ、あの見ることができます。,オペレーター: はい。あー。はい。あーそれはもうあのすごく競争率がなんか高そうですね。はい。,カスタマー: はい。はい。その時は予約がちょっと殺到するかもしれませんね。
カスタマー: うん、うん、うん、うん。,オペレーター: 北見ハッカ記念館、まぁ、ハッカの―博物館とか、記念の<>、あま、今、こ、ちょっとお話ししたところでちょっと、あのー、出てきてるんですけれども。,カスタマー: あぁー。はい、はい。
オペレーター: そうしますと、あの、居酒屋のようなとこですと、夕方からしか開いておりませんので。,オペレーター: ええ。あ、うんうんうん。,カスタマー: そうですよね。いま、あの、朝早くから開いているお店をですね、私のほうで確認をしております。
オペレーター: いただける感じなんですけれども。,オペレーター: あ、お、フルーツ狩りの施設？,カスタマー: そうですね。
オペレーター: はい。,オペレーター: はい。はい。かしこまりました。じゃあこちらのお店もはい候補の一つとしておいておきます。,カスタマー: おねがいします。
カスタマー: はーい。,オペレーター: はい、こちら場所は那覇なんですか？,カスタマー: これも那覇ですね。
オペレーター: はい、えーとですね、ちょっと時期が違うんですけれども、ま、菖蒲が綺麗な場所ですとかー。,オペレーター: はい。,カスタマー: あー。
カスタマー: ははっ<>,オペレーター: はい。,カスタマー: そういうとこ<>ね。
カスタマー: ええ、ええ、ええ。,オペレーター: なるほど。,カスタマー: お土産とかも買えるんですかね？そこで。
オペレーター: じゃあ、あじのやさんを入れておきますね。,オペレーター: はい。,カスタマー: これでー、たこ焼きも食べてー、お好み焼きも食べちゃったんですけど、<>お土産とか、ちょっと見てあの腹ごなしはいかがですか？
オペレーター: 越後湯沢でございますね。少々お待ちくださいませ。,オペレーター: はい。,カスタマー: 越後湯沢では、あの、どういったことをされたいですか？
カスタマー: ええ、ええ。,オペレーター: あとはあのー、屋外のー、楽しむものになってしまう感じなのでー,カスタマー: はい。
オペレーター: かしこまりました。,オペレーター: はい。,カスタマー: ではですね、まずお客様が最初におっしゃられました、かまぼこの博物館
オペレーター: はい、一応なんか電話番号とかもお伝えできますけど…必要でしょうか？,オペレーター: あ、いいですか、お願いします。,カスタマー: はい、かしこまりました。
オペレーター: ええ。料理はすべてオーナーの手作りということで、ランチは1000円ぐらいからあります。,オペレーター: はい。,カスタマー: えーとー、林檎をつ、すりつぶした、なんか、生地に、あの、チーズを乗せて焼いたオリジナルのアップルピザみたいのもあるそうです。
カスタマー: はーい。,オペレーター: あの、昼食ですと、まー、1000円から3000円以内位で。,カスタマー: うん。
カスタマー: あと、動物園とかある？,オペレーター: ゆうえん、ゆ、あのでかい、でかい<>、遊園地とか、まあ公園、でかい公園とか、あのー博物館。,カスタマー: はい、今確認します。
オペレーター: ええ、うん。,オペレーター: ええー。,カスタマー: ええー。
