operator_utterance,customer_utterance
オペレーター: あと、焼酎も、あの、揃っております、豊富に。,オペレーター: あのー、やっぱり名物は、あの、鮮度抜群の牛タン使ったしゃぶしゃぶとか、<>そばですね、出汁に通してそんで食べるみたいな、あの、牛タンですね。
オペレーター: とー、ここはですね。,オペレーター: あの、ねん、えー9時から17時の営業時間で。
オペレーター: では、これで、あの、ご案内を終了させて頂きたいと思いますので、ありがとうございました。,カスタマー: はい、ありがとうございました、失礼しまーす。
オペレーター: うん。,オペレーター: あー、そう<>。
オペレーター: はい。,カスタマー: 行く、イ、イメージないのに行く、だ、ことだけが決まってるという…フフフ。
オペレーター: えぇ、はい、あのご紹介させて頂き、頂きますと。,オペレーター: えーっと中国菜館慶華園さんというお店がございまして。
オペレーター: ええ。,オペレーター: そうですね、あのー、ほんと本場ですので。
オペレーター: ですので、そういったお店ですとー、あのー、ま、同じもの、例えばですね、ま、こちら出てくるもの、牛タンとか仙台なのであるんですけれども、牛タンばっかりだとちょっと飽きたりしますよね。,カスタマー: そうです、そうですね、うん。
オペレーター: はい。えーと…。,オペレーター: その、ちょっとあのー…そうなんですねー…こちらが、夏、夏で絞るとあれですね…こちら出ないですね。
オペレーター: がよろしいですかね。はい。かしこまりました。,オペレーター: ではこちらですね、名前がグラスロード1571といいます。
オペレーター: うーん。,オペレーター: あのー、ご要望はございますか?
オペレーター: 鳥海山。,オペレーター: こちら、純米大吟醸鳥海山を華やかな香りとジューシーな酸味が特徴で、55カ国の日本国政府の在外公館で、えー、外国の、えー、お客様に提供している、ものとなってますね。
オペレーター: 逆にでもその、キュウシが、付きっきりでないような、セルフの、 あるということなんでしょうか。,カスタマー: あっははふふふははは。
オペレーター: 比内地鶏の皮を軽くビチョウタンで、あ、備長炭で焼いて、炙っている…いるから焼き鳥のように香ばしく、とろとろの卵と一緒にご飯がすすむという。どっちかって言うと、お昼ご飯とかにいいのかもしれないですけど。,カスタマー: はい、あのー、それー、是非、はい。
オペレーター: ま、広いと言っても、ま、北海道なんでー,オペレーター: そ、ひろ、その広いとは書いてないんですけ<>、たぶん、広いんではないかってゆう、想像なんですけど、でも赤レンガの建物とかが見られます。
オペレーター: はい。,オペレーター: 全然飲まなくても楽しめると思うんで。
オペレーター: はい。,カスタマー: 他の地方とかでもそういったあのー、建物がいっぱい見れる施設ってありますかね。
オペレーター: な、なにか気になるものってありましたか？,オペレーター: はい、わかりました、じゃあ。
オペレーター: か、あのー人気ま、あのー保存されている漫画は、現在人気作品。,オペレーター: 歴史的ーなものとか、あの約5万冊は自由閲覧が可能なので、5万冊といえば、もうー手塚治虫とかも当然入っているとは思われるんですけれども。
オペレーター: 関西でですね、初めてあんみつをご提供したことで知られる老舗だそうです。,オペレーター: ですので、こちらであんみつを食べてですね、
オペレーター: そうですね、はい。,オペレーター: よろしいかと思います。
オペレーター: そうですね。ええ、ええ。,カスタマー: ね、なるほど。
オペレーター: 夏でございますね。,オペレーター: かしこまりました。はい。では、えー、お客様お二人のご旅行でー、夏に仙台に行かれるということで承ります。
オペレーター: で…。えーと。,オペレーター: あっ、あのー。
オペレーター: の母、お母さまが、はい。,オペレーター: の、あの、ゆかりのあるお寺とかもございますけれども。
オペレーター: レクリエーション施設もあるとか書いてあるんで。まあ、でも、温泉だけで、け、いいですよね。なんか、あの、温泉っておっしゃってたんで。,オペレーター: ただ500円で入れるのでー。その、お風呂入れれば。
オペレーター: ではまあ、えっと、史跡など、か、えーと、検索しますので少々お待ちください。,オペレーター: えーと、最初のお店がー、えー、札幌のお店ですので、札幌の付近で探してみますね。
オペレーター: はい。,オペレーター: で、こちらの動物園なんですけれども観覧車など。
オペレーター: はい、はい。,カスタマー: なんか林檎のイメージしかないんですけど。
オペレーター: では、えーと、早速、調べていこうと思うんですけども、具体的に何か、い、えー、見たいとか、行きたい、遊びたいっていうものはお決まりでしょうか？,カスタマー: あのー、松山千春のアシ、アシロでしたっけ？あれ？ちょっと名前覚えてないんですけど。
オペレーター: あっ。あっ。はい。,オペレーター: あっはい。かしこまりました。それではこちらあの候補の一つとしてはい、置いといてもよろしいですか？
オペレーター: はい。,オペレーター: あー。はい。はい。かしこまりました。
オペレーター: 候補の一つとして、はい、押さえておき。,オペレーター: 押さえときますね。
オペレーター: アハハッ。その、そうですね。そのような場所。はい。はい。,カスタマー: すごい、今の世の中にふさわしいお祭りの楽しみ方かもしれない。ヘヘヘフフッ、フフフフフフ。うんー。
オペレーター: では、えーと、今回の、えー、ご旅行、お決まりの範囲、具体的に教えていただきたいんですけども。,オペレーター: 温泉ですね。
オペレーター: 羊よりは牛がいいですか？,オペレーター: 牛。
オペレーター: スッ、スーッ、そうですね。,オペレーター: えーと。
オペレーター: はい、えーとですね、今一応食べ物は、えーと、2件ご紹介したんですが。,オペレーター: 両方とも魚介ですので、ほかの食べ物でしたりとかご紹介しましょうか？
オペレーター: はい。かしこまりましたー。,オペレーター: ちなみになんかこうー、苦手な食べ物だったりとかー、そういったものは大丈夫でしょうかー。
オペレーター: 風景とか,オペレーター: 雪まつりだと
オペレーター: こちら、ちょっとお待ちください。,カスタマー: そばですか。はい。
オペレーター: あ、分かりましたー。,オペレーター: じゃーあのー。
オペレーター: はいあの9月中旬から11月の上旬までおこな、行われておりますのではいもしご興味がございましたらこういったところもございますけれども。,カスタマー: いいですね。リンゴがすごい好きだし、青森も。
オペレーター: ちょっとごめんなさい。お時間があれなので…。,オペレーター: はい。ちょっとお時間が無くて。
オペレーター: じゃあもうちょっと幅広くちょっと探してみますね。,オペレーター: えーと、そうですね、やっぱあれですね、なんかちょっとコース料理みたいなやつじゃなくて、こう、なんていうか、一品物みたいなほうがよろしいですかね。
オペレーター: はい。終わりにしたいと思います。あの、本日は、どうもありがとうございました。,オペレーター: はい。失礼いたします。
オペレーター: 21時30分、ラストオーダーとなっておりますのでー。,オペレーター: えっとー、お時間、大丈夫ですよね？
オペレーター: はい。,オペレーター: あとー、お食事とか、あの、何かこう、やってみたいとか、食べてみたいとか、ございますか？
オペレーター: で、えー、竹林と今、海沿いというか水辺のそば、ご案内させていただいたんですけど、竹林よりは水辺のほうがいいですか、やはり。,オペレーター: フフ。はい。
オペレーター: こちらいかがですかね？,オペレーター: <>あとほかになんか、ハサミ工場みたいなところとかも。
オペレーター: 迷路が楽しめるそうなんで、こちら大変お勧めですね。面白そうでございますね。はい。,カスタマー: それ。
オペレーター: で、同じ近くに何かあればと思うんですけれどもー、んー…。こちらは…こちら、ちょっと違うのかな。何かあと、な、なんて言うのかな、んー。食べたいものとか、夕飯に食べたいものとかってありますか？,オペレーター: えーとー、夏ですよね。
オペレーター: こちらを、はい、リストに掲載いたします。,オペレーター: ではお客様、他に何かご覧にならなくて大丈夫ですか？まだ滝一箇所しか訪問していないんですけれども。
オペレーター: シーサーのなんかアレンジしたお土産とか、置物とか、あと、あの写真立てですか。そんなものとかがこう、あの置かれているようなお店がたくさん並んでいるようでございます。,カスタマー: うーん。ああ、そういうのは子供もね、なんか<>とか見たがりそうな。
オペレーター: えーと、それとか、えー、せんべい汁定食っていうのも、あ、えーと、青森のものであるんですけど、せんべい汁ってご存知ですか？,カスタマー: 知らないです。
オペレーター: 三味線を、あのー、ライブでしたっけ、そういったのを。,オペレーター: <>、うん。
オペレーター: あ、今<>庭園がいいですね。,オペレーター: はい、でまあ何の庭園かというとー、幕末から明治にかけてのですねー、庄内藩の重鎮だったー菅家というまあ名家がございまして、その日本庭園となっております。
オペレーター: 札幌ら～めん共和国というお店がございまして。,カスタマー: 共和国…はい。ハハハハ。
オペレーター: ただし、あ、すいません、屋形船は10月下旬から11月上旬のみなので。,オペレーター: 冬でも、あんまり、あんまり冬過ぎてしまうと。
オペレーター: はい。ええ、ええ。,カスタマー: 分からないんですけど。はい。
オペレーター: はい、どういった食べ物が…。はい。,カスタマー: そうですねー。えっと…。
オペレーター: 映画に出てきたって、な、映画を見ながら食べるのもいいかもしれないですねー。,オペレーター: 本当はなんかあのー、いろいろ近くに―、あのー、大通公園店とかつってあの木のーつとーきのとやカフェ、に、の写真が出てるんですけれども、ワッフルだったりアイスクリームだったりとかー、結構、見て歩けると思いますので、結構この、き、札幌の大通りってゆうのはー、もうほんとにーいろんなお店があっ、もうな、立ち並んでる雰囲気で、あの、なんかちょっと、写真がないんですけど、まぁ、いろんな、まぁ、甘い物とか、あると思いますのでー、是非楽しまれるといいと思いますので。
オペレーター: お客様、あのー、冬ですので歩き回るとやはり大変ですのでー、お店の名前だけ一応ですね、ご案内しておくと便利かなーと思いました。,オペレーター: はい、お客様どういったジャンルをお考えですか？
オペレーター: あ、じゃここの京都和久傳、<>はい、お昼や、お昼の。,カスタマー: ええ、和久傳、ええ、はい。
オペレーター: ええ、ええ。,オペレーター: あ、良かったです。
オペレーター: 1804年に創業したー、旅館 でしてー、,オペレーター: 非常に伝統ある、南部藩の、お抱えのゆじばとして、湯治場ですね。としてー、とても賑わっていたそうです。
オペレーター: 天候型の、その、ショッピングモールですね。ま、レディースファッションとか。,オペレーター: リーズナブルな雑貨とかがあります。
オペレーター: ええ。,オペレーター: でー、冬のー、やはり道となりますとー、
オペレーター: 18時から24時の営業になっております。,オペレーター: はい。うんうん、やー、すごい良さそうですね、ここは。
オペレーター: はい。ええ、ええ。はい。,カスタマー: あのーそうですね、どこのお寺でも、あのー塔があるわけではないと思うので。はい。
オペレーター: ちょっと写真がないんで分からないんですけどラムロインっていうものが置いてたり、まぁラムのなん,オペレーター: あーおそらくそうですね。ラムのサーロインみたいなのが置いてあるところで、他にソーセージとか
オペレーター: 承知しました、少々お待ちください。,オペレーター: 通天閣自体があの観光地みたいになっておりましてー、<>出てきてるんですけれどもー、あのー、通天閣自体に行ってみますか？一応。
オペレーター: ふわふわもちもちの食感のパンケーキ、3段重ね。,オペレーター: で、ボリューム満点と書かれてありまして。
オペレーター: あっ、たべある…。,オペレーター: えーと…。
オペレーター: ま木ば、ちょっとアロエを見た後に木、また樹林っていうのはあれなんですけども。,オペレーター: ちょっとこう、タイムスリップしたような感じのところなんですけれども。
オペレーター: えー、こちら、空港にも近くて帰りにひと泳ぎしていく観光客の姿も、えー、ちらほらあるというような場所になってまして、えーと、4月から10月は、えー、売店、波の上商店が営業してお、おりますので。,オペレーター: ビーチグッズの販売や、バーベキューの、予約を受け付けております。
オペレーター: あと、ご飯だと、えー冷や汁。,オペレーター: あと鶏飯、鶏のご飯ですね。
オペレーター: あ、はい、承知しました。特にあの、沖縄でこう、し、やりたいなっていうこととかってありますか。,カスタマー: そうですね。まだちょっとあの、イメージ掴めてないんですけれど。
オペレーター: じゃあ一応まぁこれも一応入れときますかね、ひとつ,オペレーター: として
オペレーター: うーん。,オペレーター: あの、公園とかになってしまうんですけれども。
オペレーター: 結構、興味惹かれるような内容かなー、と思いますー。,オペレーター: はい、かしこまりました。ではこちらの旧海軍、司令部壕も、リストに入れておきますねー。
オペレーター: ていうのがございますね。,オペレーター: で、花を愛する人が、あのー、に、人気のある、ま、長く花を愛する人に、にん、長く夢を与え続けてきた人気のガーデンっていうのがございます。
オペレーター: あ、お好きでしたか、もしかして。,オペレーター: あ、左様でございますか。よかったです。ありがとうございます。
オペレーター: そうですね。こ、今は、の、は、香川県、ですね、はい。,オペレーター: 他の県のも調べてみますか？
オペレーター: こちらの店とかいかがでしょうか？,カスタマー: あ、いいと思います。
オペレーター: 赤ズワイ蟹の身を丁寧に取り出してご飯の上に載せた蟹丼。,オペレーター: とか。
オペレーター: はい。,カスタマー: 桜―、いいですね。
オペレーター: ええ、ええ。ええ、ええ。こちら、あのー、なかなか、あのー、はい、よろしいかと思うんですけど、例えば、そうですね。,カスタマー: んー。どんなお店があります？
オペレーター: ええ、ええ。,カスタマー: い、あのー。有名なー、あのー。
オペレーター: 中にあのその税関のこう、まあ歴史みたいなものが。,オペレーター: 飾られていたりとかするものはありまして。
オペレーター: うん。,オペレーター: あ、意外…。
オペレーター: そうですね。,オペレーター: ん、まっ、朝行って。そのまま、食べ終わって向かえば、まあ大丈夫かなっていう。
オペレーター: はい。そうしますと。,オペレーター: あの、こちらでご案内した内容を、ちょっと、あの、確認してもよろしいですか。はい。
オペレーター: はい。,オペレーター: あの結構写真が載ってるんですけども。
オペレーター: はい。,オペレーター: あ、はい。ただ今お調べいたします。少々お待ちください。
オペレーター: えぇ。,カスタマー: まぁちょっとイメージするのが。
オペレーター: ちょっと、ここは、場所は、あのー、岩手県になるんですけど、最寄り駅は盛岡です。,オペレーター: で、えーと、売っているものが、まー、南部鉄器とか、ほーむ、ホームスパン、ホーム、ホームスパン。
オペレーター: ちょうど北海道の真ん中ぐらいなんですけど。,オペレーター: はい、旭川となっておりますので。
オペレーター: 囲炉裏っていう、あのー、灰が入っていて、炭が燃えていて、座って、そこで温まりながら、あのお料理を食べるっていう形でございます。,カスタマー: あ、そういう雰囲気の店があるんですね、じゃあ。
オペレーター: はい、本日はご利用いただきまして、ありがとうございます。お客様、どのようなご旅行を希望でしょうか？,オペレーター: はい、はい、えぇえぇ、はい、はい、はい、あっかしこまりました。はい、お客様卒業旅行となりますと、あのー春頃に行かれるんですかね？
オペレーター: 少々お待ちください。,オペレーター: はい、えーとですね、はい、えーとー、いくつか候補が見つかりました。
オペレーター: ええ。,オペレーター: あ、はい。それでは、あのー、そうですね、じゃあ冬以外ということでー、はい、あのー、ちょっと調べてみ、あのー、はい。
オペレーター: ま、お昼も夜もあるんですけれども、ホテルモントロ、モントレエーデルホフ札幌っていう中にある、あの、ずい、随縁亭っていう、あの、おすしとか和食とか食べられるお店があるんですけれども。,オペレーター: あの、こちらは、あの、地産地消を基本とした食材を、こう、生かしてる。
オペレーター: その今三店舗、ほど…、出てきたので。,カスタマー: なんでまあ、ランチ帯はそのー、ビーフシチューとそのー、釜屋さん。
オペレーター: お求めになってー、持っていかれるということもできますしー、,オペレーター: まあ、あの、ロイズっていうチョコレートですね。
オペレーター: 近場、バスを使ったりとかして、あのー、,オペレーター: 回れるとは思うんですけれども。
オペレーター: で、こちらで、その、お土産も売ってますし、あのー、テレビ塔ですので、上に登っていただいて、あの、観光とかもできますね。,カスタマー: えー、そうなんですね。
オペレーター: ああ、雪を避けて<>、春先ぐらい、はい、かしこまりました。,オペレーター: で、えーと、じゃあお一人で楽しめるようなところのほうがいいですか？なんか具体的にやりたいことがあれば、まずお調べしたいと思うんですけど。
オペレーター: 通天閣は、あ、もちろん初めてってことで、その周りを見たいっていう感じですかね、なんかどうぶ、はい。,カスタマー: はい、あの、商店街みたいなのがあるんですかね、あの、スカイツリーみたいに。
オペレーター: はい。少々お待ちください。,オペレーター: はい。えーとですね、ただいま調べましたところ、ちょっとですね、えーと、別の調べ方で、ちょっと調べてみますね。すいません。見る…。
オペレーター: 秋がよろしいですか？,オペレーター: あ、ここはあの、四季折々色々楽しめるので。
オペレーター: お食事処なんで雨降ったら困りますけど。,カスタマー: フフフフフ。
オペレーター: えっと、<>ですね、えっと、沖縄空港からですね、えっと車で約1時間30分でございます。,オペレーター: はい。特に春におすすめみたいで、雨でもオッケーという風になってます。
オペレーター: でー、足を伸ばせる、その、掘りごたつ式になってまして、テーブルが。,オペレーター: え、こちらだと、えー、いろり付きで地鶏や海鮮料理を目の前で焼きながら食べられるっていうのが、いろ、えーと、お客さまに好評のようです。
オペレーター: オルゴールの美術館というものが、こちらでご案内できる場所がですね、,オペレーター: 少々お待ちくださいね。こちら、アンノイエというところがあるんですけれども、こちらお客様ご存知でしょうか？
オペレーター: で、こっち、ええ、そうですね、で、令和元年にさらに拡張して広くなったそうで。,オペレーター: そうですね、しと…。
オペレーター: 結構、なんか、フルーツパーラーなんですけど、一応、書いてあるんですが、あの、有名なのが、このー、えーと。,カスタマー: シュークリーム。
オペレーター: あの女将さんがこう考案したつけ天っていうのが今あのさっきおは、話をしたような、しましたあのー、冷たいお蕎麦の、をあのー、エビが乗っているみたいな、天ぷらが乗っているみたいな、あのーもので、暖かなお蕎麦に大きなエビが天が入っているものもございます。,カスタマー: はー、なるほどなるほど。
オペレーター: え<>。,カスタマー: ナンバエイトってなんか要するに、アイドル歌手？
オペレーター: そうで、ええ、そうですね。まあ和食のちょっとした小さなお店というようなご理解をいただければと思います。,オペレーター: はい。ではお夕食はこちらになさいますか？
オペレーター: こちらはいかがでしょうか?,オペレーター: カフェレストランとなっていまして、あの、北海道銘菓の白い恋人ってありますよね。
オペレーター: あとは、ちょっと堅苦しい感じのうな丼、うな重ですか。,オペレーター: そういうものになっちゃうんですけど、こちら、ゆず庵で一応チェック入れておきますか。
オペレーター: やはり海産物を扱った、あの、蟹ですとか、はい、カレイとかですね。,カスタマー: うーん、やっぱり<>が、はい。
オペレーター: すっぽんとかもあるんですけど。,オペレーター: ハモとかー、夏はハモで、あとは、すっぽんとかは、そのー、ふぐとか、ふぐとかいかがですか？
オペレーター: はい。かしこまりました。,オペレーター: えーとではまず沖縄県に行きたい、えー、冬の沖縄県に行ってみたいということで、したが、スーッ、えーとー、何か具体的にー、こういうー、ものが見てみたいとかー、えーと、こういう…、えー、ことしてみたいとかそういったー…、えーとアイディアなどはございますか？
オペレーター: ええ。,オペレーター: ばっしょーは、えーとー、今那覇で…、あのー、で…、那覇です。お調べ…、お調べというか那覇で出て来てます。
オペレーター: 直売所の2階から、あのガラスの窓越しに醸造風景見学できるみたいですね。,カスタマー: へー、いいなぁそれ。
オペレーター: あとはカフェなんかもあるみたいなんで、こちらで、まぁあの、軽食だったりとか、あとケーキセットなんか。,オペレーター: もあの、いただけるみたいで、あとは、夜でしたらビールですとかワインですとか、そういったお酒のご用意もあるみたいですね。
オペレーター: なんかちょっと面白そうですよね。,オペレーター: はは、はい。
オペレーター: あー。,オペレーター: あの、一応ですね、あのキダチアロエの、あのー花祭りがあって、それは12月の中、あ、上旬から1月の初旬までなんですけれども。
オペレーター: 最初の、最初に申し上げたのと、二つ目申し上げたのでしたら、どっちがよろしいですかね？,オペレーター: あー、そうですね。朝からやってるんで、もう、朝ごはんとして食べることもできるかと思いますね。
オペレーター: ちょっとその辺の明記はされておりませんで。,オペレーター: あのー、3歳以上のお子さまってなっているので、もしかすると。
オペレーター: 牡蠣のほかにも旬の素材を使った、美味しいメニューがそろっているので、常連客はまず、今日のおすすめから、ま、大抵頼むような感じになってる、とのことですね。,オペレーター: あと、ま、刺身、焼き物、どちらも日本酒がすすむような、こう、お刺身、料理が、けっこう沢山あるお店になってますね。
オペレーター: アクティビティーを体験されて、あと、その、はい。,オペレーター: 瀬長島で夜景を見るような感じですね。
オペレーター: ちょっと写真がなくて、確認ができないんですけど。,カスタマー: まぁ変わってて美味しくなかったっていうのもなんかちょっと裏切られた感じがしますからね。
オペレーター: では、本日ご案内いたしました内容を今一度確認させていただきます。,オペレーター: はい、えー、まずタコスのお店が何度も申し上げまして申し訳ございませんが、タコス専門店タコヤ国際通り店でございますね。
オペレーター: お客様、あのー、あんみつとか好きですか？あんみつ、羊羹…。,オペレーター: あ、お客様？聞こえてますか？あ、大丈夫ですかね？
オペレーター: 加賀野菜や能登ミルクを使ったスイーツだそうで。,オペレーター: ええ。なかなか、うんー、こだわりがあると。
オペレーター: はい。あと他に、えーとですね、こちらからご案内できるところですと。,オペレーター: あのー、ノースサファリサッポロとございまして、はい、こちらがですね、あのー、写真とかこちらで、あの、確認したところ、あのー、お客さま、あのー、ヘビとか苦手ですか？アハッ。
オペレーター: はい。,オペレーター: あ、ふふ、はい。
オペレーター: あ、今お答えしますね。,オペレーター: えっと営業時間は5時から5、あ、9時からえっとー17時、5時ですね。
オペレーター: えー、でしたりー、あとですね、こちらも帯広ですかねー、そうですねー、帯広エリア、あと釧路。,オペレーター: そういった所にですね
オペレーター: こちらまあ、あのー…。ちょっとイベント事として、面白そうなのは。,オペレーター: あのー…、お店、おそらく二階建てになっているとも、思われるんですが。
オペレーター: あのー、きょうど料理亭杉ノ目さんというお店がございまして。,オペレーター: はい、こちらがですね、えーと、蟹、蟹と北海道料理のお店でして。
オペレーター: はい。こちら、候補の一つとして押さえておきますか？,オペレーター: かしこまりました、はい。えーと、そうですね、こちらは月曜日がお休みでございますね。
オペレーター: あ、はい。,オペレーター: そうですね、ちょっと、この、寿司、お寿司屋さん1個見つかったんですけど、ちょっと写真がないので何かちょっとあんまりイメージがわきづらいかと思うんですけど。あと一応この秋田料理…を色々、いろんな種類、ま、魚介もそうですし、あのー、お肉もお楽しみいただけるようなお店も見つかってるんですけど、こちらとかいかがですかね？
オペレーター: こちらもー。,カスタマー: ま、でも、そーゆーの、父の方が詳しいかと思いますけど、ふふ、うーん
オペレーター: あの北海道大学の植物園。,オペレーター: 宮部金吾ろう博物、記念館とかっていうのがございます。
オペレーター: 難波。,カスタマー: ふふっ。
オペレーター: はい。,カスタマー: すごーい。
オペレーター: えーとー、体験してみたいとかー、少し休憩したいとかっていうのがあれば、お探ししますけれども。,カスタマー: あーそうですか、えっとー、あの、ちょっと離れてるんかね、あの吉本興業とかのー建物見るだけでもみてみたいなーって思うんですけど、あの<>、はい。
オペレーター: はい、まず一ノ滝、二ノ滝渓谷で滝をご覧になって、マイナスイオンをたっぷり浴びるということですよね、はい。,カスタマー: はい、はい、そうです、はい、はい。
オペレーター: ああ、おな、えっと好みが似ている,カスタマー: そうですねー
オペレーター: こちら城山公園展望台という場所<>。,カスタマー: 城山公園、はーい。
オペレーター: オススメ…。,オペレーター: 名…物…。
オペレーター: はい、かしこまりました。今お調べ致しますので、少々お待ちください。,オペレーター: 今お調べしまし、しら、お調べ中ですので、少々お待ち下さい。すいません。
オペレーター: そうですねあのー、海の、こう突き出したところに、あのー、岩場みたいなところに鳥居が建っていて、こう不思議な感じ、波打ち際にこう鳥居があるみたいな。,カスタマー: へーそれはちょっとねぇ、中じゃないですけど、まぁ沿って。
オペレーター: 東北地方でございますね、少々お待ちくださいませ。,オペレーター: えー、そもそもどの、どの県に滝があるのかってのがちょっとよく分からんないんですけどー、ああ、ええ。
オペレーター: はい。なので、ちょっとここは面白そうなんですけど。,カスタマー: あ、はい。あのー、ちょっと覗いてみたいですね。
オペレーター: ええ、ええ。しょうし…。,オペレーター: あ、はい。はい。ただ今、お調べいたします。
オペレーター: はい、あと、お客様、何か、そのー。,オペレーター: 仙台の方で、何か観てみたいですとかー。
オペレーター: で、もぎ取った量に、を、あのー、量り売りみたいな感じで100グラム150円となっておりますので、お願いします。,カスタマー: あ、はい、分かりましたー。
オペレーター: 日本酒とか写っていますね。,オペレーター: 色んな、あの、ホタテ貝だとか。
オペレーター: 肉は、えー、神戸迎賓館、ルアンコというところがあるんですけども。,オペレーター: いかがですか？ステーキとかございますけれども。
オペレーター: あの大人様が2200円ほど,オペレーター: はいかかるところではございますけれども、はい。晴れた日はあの富士山も見えて。
オペレーター: こちらには、あの、ございます。,オペレーター: で、あと、今のが道の駅なんですけども。
オペレーター: ええ、ええ、あ、はい、かしこまりました、はい、かしこまりました、ではスープカリーひげ男爵と、えーとー、万屋マイキーこちらのスープカレー店2件もリストに加えさせていただきますねー。,オペレーター: <>まあそうですよね、ちょっと2件もスープカレー食えないですよね。
オペレーター: 灯台。,オペレーター: えーと、ごめんなさいちょっと載ってないですね、申し訳ないんですけども。
オペレーター: 蓼科高原バラクライングリッシュガーデン。,オペレーター: えーと、だ、ここで、あの、ちょっとお茶をしていただきまして、えー、蓼科パークホテル夕映えの湯に入りまして、えー、キュウゾウベエ餅本舗あらら木っていうところで、あのー、ちょっとお餅を買っていただくって、こう、話で、あと、ギャラリー我忘亭、亭で、あのー、我忘亭を、えー、見学をして、えーと、黒曜石、えー、体験ミュージアムで、あのー、手芸の体験をするというコースなんですけれども、いかがですか？
オペレーター: ええ。こちらのほうがいいですかね？プールもありますし。,カスタマー: はい。あー、そうですね。
オペレーター: ここも本島南部で、で、あのTシャツとか、あとお人形とか売ってるような店なんですけれども。,オペレーター: あのファッションアクセサリーのお店ですね。
オペレーター: 写真に載ってるネギがですね、青ネギなんですね。,オペレーター: 東京白ネギ、じゃないですか？
オペレーター: はい。,オペレーター: なんか、あと近いんですけど、あのー、コクショウセキ体験ミュージアムっていうのがあるんですけど。
オペレーター: はい。そうですね。はい。それでは、あの、えーと、行程をちょっとまとめさせていただきたいんですけれども。,オペレーター: はい。はい。はい。えーと、まずですね、あのー京都水族館に行かれまして。
オペレーター: あっさりとした昔ながらの札幌ラーメンを,オペレーター: お楽しみいただきます。
オペレーター: はい。大変貴重な？体験ができるかと思います。,オペレーター: はい。はい。あとあれですね、そのー、美味しい和菓子屋さんですよね。今お調べいたしますね。
オペレーター: あ。,オペレーター: 軍港ですね。
オペレーター: ええ。はい。ではですね、例えばそうしますと、本島の中部北部。,オペレーター: あるいは離島になるんですけれども、その中でどちらかご希望ございますか？
オペレーター: で、こちらがですね、あのー、北海道開拓の村という、あの、復元した建物もございますので。,オペレーター: で、あのー、面白いかと思うんですけれども。
オペレーター: あっ、はい、かしこまりました。,オペレーター: ただ今お調べ致しますので、お待ち下さい。
オペレーター: おっ、おそらくですねー、そのお友達にあのー、岩手、南部鉄器とか、ございますけれども,カスタマー: 食べ物…
オペレーター: で、こちらがですね、あのー詳しい情報がですね、はい、あの、五重の塔がございまして。,オペレーター: はい。こちらあの、国宝でございます。はい。
オペレーター: ここであれば、お風呂。,オペレーター: ま、温泉旅館、その、スパに行って、ここの観覧車に乗ってとか。あと、お食事したりとかっていうような。
オペレーター: と、群馬県辺りですと、温泉あり…、いかがですか。,オペレーター: 伊香保がよろしいですか。
オペレーター: はい、あのー、アクセスしやすい場所となっております。,オペレーター: はい。で、あと、こちら、あの、そういった体験もできるんですけれども。
オペレーター: そこが、行く時期って決まってますか？ちょ桜が咲く名所<>。,オペレーター: はい、ありがとうございます、じゃあこちら<>。
オペレーター: えっとー、距離としては、えー、駅、あの、横浜駅、駅の東口から徒歩で3分でございます。,カスタマー: ふんふんふんふんふんふん、あ、いいですねー。
オペレーター: こちらどうでしょう、まあきつねうどんとが、えーしっぽくうどんとか、そういったものがあって、,カスタマー: はい。まぁちょっとお値段帯としては1000円から5000円どれぐらいになるか<>という感じなんですけども、お店構えからしてですね、
オペレーター: そうですね、あのー、ほんと本場ですので。,オペレーター: あとですね、アナゴも大変有名でございますがー
オペレーター: こんにちは。,オペレーター: 本日はご利用いただきましてありがとうございます。お客様、どのようなご旅行をご希望でしょうか？
オペレーター: あ、かしこまりました。ただいまお調べいたします、少々お待ちください。,オペレーター: そうですね。資料館、見る…<>そうですねー、はい。
オペレーター: お客様、今日は観光のご相談でよろしいですか？,オペレーター: ありがとうございました、どういった内容になりますでしょうか？
オペレーター: で、こちらのお店が、旬の島の魚を手頃な価格で味わえる。,オペレーター: てことで、ま、地元の人、屋久島の方とかに愛されてる、親しまれてるお店。
オペレーター: 素敵なプランですね。,オペレーター: マイナスイオンを浴びられるようなー、滝でございますね。
オペレーター: じゃあ八戸。,カスタマー: 雰囲気ありそうですね。うーん。
オペレーター: こちらそうですね、はい、イカとかも有名で。,オペレーター: はい、ええ。そういったあのー料理を食べさせてくれるお店もございます。
オペレーター: んっ？キドガワだっけ。きぬが…。鬼怒川か。鬼怒川、ごめんなさい。鬼怒川とか。,カスタマー: 鬼怒川じゃないですか。
オペレーター: お客様、どういっ、あと彫刻の森美術館もいいかなぁというに思いますね。,オペレーター: どうですかお客様どう<>何かイメージがわいてきましたか？
オペレーター: まぁ、そこまであのお高いお値段ではないので,オペレーター: まぁ、あの一つ候補としてまずあの頭にとめておいていただければとおも
オペレーター: ない感じですかね？,カスタマー: そーですね。
オペレーター: あ、さようでございますか、えー。,カスタマー: だから、絶対、ほ、ホヤはとは思ったんだけど、うーん。
オペレーター: 紅葉のスポットとか書いてあるんです。,オペレーター: 史跡なのでいろいろと、あの、整備されていて。いこいの広場とかもありますし、高台なので。
