previous_operator_utterance,operator_utterance,customer_utterance
オペレーター: そうですね、なんかあの,オペレーター: ま、広いと言っても、ま、北海道なんでー,オペレーター: そ、ひろ、その広いとは書いてないんですけ<>、たぶん、広いんではないかってゆう、想像なんですけど、でも赤レンガの建物とかが見られます。
オペレーター: うん。,オペレーター: はい。,オペレーター: 全然飲まなくても楽しめると思うんで。
オペレーター: ではあの、800円で、大人は800円で見ることができます。,オペレーター: はい。,カスタマー: 他の地方とかでもそういったあのー、建物がいっぱい見れる施設ってありますかね。
オペレーター: 他の北えびすと大通りジンギスカンは、だいたい同じぐらいの価格帯かと。,オペレーター: な、なにか気になるものってありましたか？,オペレーター: はい、わかりました、じゃあ。
オペレーター: あ、それは、当然あると思います。,オペレーター: か、あのー人気ま、あのー保存されている漫画は、現在人気作品。,オペレーター: 歴史的ーなものとか、あの約5万冊は自由閲覧が可能なので、5万冊といえば、もうー手塚治虫とかも当然入っているとは思われるんですけれども。
オペレーター: はい、で、こちらはですね、商店街に面している場所にございまして、,オペレーター: 関西でですね、初めてあんみつをご提供したことで知られる老舗だそうです。,オペレーター: ですので、こちらであんみつを食べてですね、
オペレーター: はい、ええ。,オペレーター: そうですね、はい。,オペレーター: よろしいかと思います。
オペレーター: あ、はい。,オペレーター: そうですね。ええ、ええ。,カスタマー: ね、なるほど。
オペレーター: では、行かれる季節はいつになさいましょうか？,オペレーター: 夏でございますね。,オペレーター: かしこまりました。はい。では、えー、お客様お二人のご旅行でー、夏に仙台に行かれるということで承ります。
オペレーター: スーッ。そうですね。,オペレーター: で…。えーと。,オペレーター: あっ、あのー。
オペレーター: あのー、羽咋ですと、あのー、例えばそうですね、前田、前田利常。,オペレーター: の母、お母さまが、はい。,オペレーター: の、あの、ゆかりのあるお寺とかもございますけれども。
オペレーター: スポーツも楽しめるってある。,オペレーター: レクリエーション施設もあるとか書いてあるんで。まあ、でも、温泉だけで、け、いいですよね。なんか、あの、温泉っておっしゃってたんで。,オペレーター: ただ500円で入れるのでー。その、お風呂入れれば。
オペレーター: はい、かしこまりました。,オペレーター: ではまあ、えっと、史跡など、か、えーと、検索しますので少々お待ちください。,オペレーター: えーと、最初のお店がー、えー、札幌のお店ですので、札幌の付近で探してみますね。
オペレーター: ホワイトタイガーが有名な動物園でございます。,オペレーター: はい。,オペレーター: で、こちらの動物園なんですけれども観覧車など。
オペレーター: えぇ。,オペレーター: はい、はい。,カスタマー: なんか林檎のイメージしかないんですけど。
オペレーター: はい。ありがとうございます。,オペレーター: では、えーと、早速、調べていこうと思うんですけども、具体的に何か、い、えー、見たいとか、行きたい、遊びたいっていうものはお決まりでしょうか？,カスタマー: あのー、松山千春のアシ、アシロでしたっけ？あれ？ちょっと名前覚えてないんですけど。
オペレーター: はいあの9月中旬から11月の上旬までおこな、行われておりますのではいもしご興味がございましたらこういったところもございますけれども。,オペレーター: あっ。あっ。はい。,オペレーター: あっはい。かしこまりました。それではこちらあの候補の一つとしてはい、置いといてもよろしいですか？
オペレーター: はい。他に、じゃあ、ちょっとあのー、見てみたいところで、何か他にございますか？,オペレーター: はい。,オペレーター: あー。はい。はい。かしこまりました。
オペレーター: 大変オススメでございます。はい。じゃ、こちらも、はい。,オペレーター: 候補の一つとして、はい、押さえておき。,オペレーター: 押さえときますね。
オペレーター: こちらがですね、ちょっと、いつとかは書かれてなくて申し訳ない、申し訳ないんですけど。,オペレーター: アハハッ。その、そうですね。そのような場所。はい。はい。,カスタマー: すごい、今の世の中にふさわしいお祭りの楽しみ方かもしれない。ヘヘヘフフッ、フフフフフフ。うんー。
オペレーター: よろしくお願いします。,オペレーター: では、えーと、今回の、えー、ご旅行、お決まりの範囲、具体的に教えていただきたいんですけども。,オペレーター: 温泉ですね。
オペレーター: こちらはお勧めかなと思います。こ...。,オペレーター: 羊よりは牛がいいですか？,オペレーター: 牛。
オペレーター: まあ週末であれば、あのー、どちらもお店は、やってますので。,オペレーター: スッ、スーッ、そうですね。,オペレーター: えーと。
オペレーター: えー、と、海の駅ぷらっとみなと市場、こちらご紹介させていただきました。,オペレーター: はい、えーとですね、今一応食べ物は、えーと、2件ご紹介したんですが。,オペレーター: 両方とも魚介ですので、ほかの食べ物でしたりとかご紹介しましょうか？
オペレーター: ええ。一応両方とも那覇、市内ですので、那覇市内でお調べ致しましょうか。,オペレーター: はい。かしこまりましたー。,オペレーター: ちなみになんかこうー、苦手な食べ物だったりとかー、そういったものは大丈夫でしょうかー。
オペレーター: あ、はじめてもう本当にメジャーどころとか,オペレーター: 風景とか,オペレーター: 雪まつりだと
オペレーター: おそばですね。,オペレーター: こちら、ちょっとお待ちください。,カスタマー: そばですか。はい。
オペレーター: こちらはいかがですかねー？,オペレーター: あ、分かりましたー。,オペレーター: じゃーあのー。
オペレーター: はい。はい例えばなんですけれども、あの青森県の道の駅というところでですねあのこちらがあのりんご狩りですね。,オペレーター: はいあの9月中旬から11月の上旬までおこな、行われておりますのではいもしご興味がございましたらこういったところもございますけれども。,カスタマー: いいですね。リンゴがすごい好きだし、青森も。
オペレーター: あっ。,オペレーター: ちょっとごめんなさい。お時間があれなので…。,オペレーター: はい。ちょっとお時間が無くて。
オペレーター: はい、いえー、あー、なるほどなるほど。,オペレーター: じゃあもうちょっと幅広くちょっと探してみますね。,オペレーター: えーと、そうですね、やっぱあれですね、なんかちょっとコース料理みたいなやつじゃなくて、こう、なんていうか、一品物みたいなほうがよろしいですかね。
オペレーター: すいません。あの、お時間が来ましたので、きょうはこの辺で。,オペレーター: はい。終わりにしたいと思います。あの、本日は、どうもありがとうございました。,オペレーター: はい。失礼いたします。
オペレーター: そーですね。,オペレーター: 21時30分、ラストオーダーとなっておりますのでー。,オペレーター: えっとー、お時間、大丈夫ですよね？
オペレーター: あ、歩いてはちょっとー、えー、登れないですね。あの、山が高いので。,オペレーター: はい。,オペレーター: あとー、お食事とか、あの、何かこう、やってみたいとか、食べてみたいとか、ございますか？
オペレーター: 一応、今の竹林のところが、えー、竹庭清正乃湯っていうところになります。,オペレーター: で、えー、竹林と今、海沿いというか水辺のそば、ご案内させていただいたんですけど、竹林よりは水辺のほうがいいですか、やはり。,オペレーター: フフ。はい。
オペレーター: 一応こちらでは、陶芸体験もでき、できるみたいです、はい。,オペレーター: こちらいかがですかね？,オペレーター: <>あとほかになんか、ハサミ工場みたいなところとかも。
オペレーター: ええ。で、こちら、あの、ヒマワリの、あの、ジャンボ迷路、迷路ですね。,オペレーター: 迷路が楽しめるそうなんで、こちら大変お勧めですね。面白そうでございますね。はい。,カスタマー: それ。
オペレーター: では、こちら、いま、え、洋らんセンター、チェックさせていただきました。,オペレーター: で、同じ近くに何かあればと思うんですけれどもー、んー…。こちらは…こちら、ちょっと違うのかな。何かあと、な、なんて言うのかな、んー。食べたいものとか、夕飯に食べたいものとかってありますか？,オペレーター: えーとー、夏ですよね。
オペレーター: ではこちら、お菓子御殿名護店といいますので、よろしくお願いいたします。,オペレーター: こちらを、はい、リストに掲載いたします。,オペレーター: ではお客様、他に何かご覧にならなくて大丈夫ですか？まだ滝一箇所しか訪問していないんですけれども。
オペレーター: あの、写真ではあの、なんていうんですかね、この海の神様の、シーサーですか。,オペレーター: シーサーのなんかアレンジしたお土産とか、置物とか、あと、あの写真立てですか。そんなものとかがこう、あの置かれているようなお店がたくさん並んでいるようでございます。,カスタマー: うーん。ああ、そういうのは子供もね、なんか<>とか見たがりそうな。
オペレーター: あとは、えー、きのことか、お好きですか、あ、でもこれ9月だな、ちょっとお待ちください、と、どこだろうな。,オペレーター: えーと、それとか、えー、せんべい汁定食っていうのも、あ、えーと、青森のものであるんですけど、せんべい汁ってご存知ですか？,カスタマー: 知らないです。
オペレーター: 三味線、ちょっとお待ちください、<>。,オペレーター: 三味線を、あのー、ライブでしたっけ、そういったのを。,オペレーター: <>、うん。
オペレーター: どうでしょう、庭園であったりー、そういったものもあるんですが、お客様何かよさそうなのございました？,オペレーター: あ、今<>庭園がいいですね。,オペレーター: はい、でまあ何の庭園かというとー、幕末から明治にかけてのですねー、庄内藩の重鎮だったー菅家というまあ名家がございまして、その日本庭園となっております。
オペレーター: はい。お待たせいたしました。あのー。,オペレーター: 札幌ら～めん共和国というお店がございまして。,カスタマー: 共和国…はい。ハハハハ。
オペレーター: はい。,オペレーター: ただし、あ、すいません、屋形船は10月下旬から11月上旬のみなので。,オペレーター: 冬でも、あんまり、あんまり冬過ぎてしまうと。
オペレーター: はい。,オペレーター: はい。ええ、ええ。,カスタマー: 分からないんですけど。はい。
オペレーター: はい。,オペレーター: はい、どういった食べ物が…。はい。,カスタマー: そうですねー。えっと…。
オペレーター: <>,オペレーター: 映画に出てきたって、な、映画を見ながら食べるのもいいかもしれないですねー。,オペレーター: 本当はなんかあのー、いろいろ近くに―、あのー、大通公園店とかつってあの木のーつとーきのとやカフェ、に、の写真が出てるんですけれども、ワッフルだったりアイスクリームだったりとかー、結構、見て歩けると思いますので、結構この、き、札幌の大通りってゆうのはー、もうほんとにーいろんなお店があっ、もうな、立ち並んでる雰囲気で、あの、なんかちょっと、写真がないんですけど、まぁ、いろんな、まぁ、甘い物とか、あると思いますのでー、是非楽しまれるといいと思いますので。
オペレーター: ええ、あー、ではですね、もしよろしければー、だいたいこういうお店ありますよーということで、何店かジャンル変えてみてご案内しておくのはいかがでしょうか？,オペレーター: お客様、あのー、冬ですので歩き回るとやはり大変ですのでー、お店の名前だけ一応ですね、ご案内しておくと便利かなーと思いました。,オペレーター: はい、お客様どういったジャンルをお考えですか？
オペレーター: そうですね、あのーま、カジュアルな感じで、あの、楽しむっていう感じですかね。,オペレーター: あ、じゃここの京都和久傳、<>はい、お昼や、お昼の。,カスタマー: ええ、和久傳、ええ、はい。
オペレーター: あ、ほんとですか。,オペレーター: ええ、ええ。,オペレーター: あ、良かったです。
オペレーター: で、この老舗の旅館というのがー、,オペレーター: 1804年に創業したー、旅館 でしてー、,オペレーター: 非常に伝統ある、南部藩の、お抱えのゆじばとして、湯治場ですね。としてー、とても賑わっていたそうです。
オペレーター: やっぱ、ショッピングとかレストランがありまして、全とん。,オペレーター: 天候型の、その、ショッピングモールですね。ま、レディースファッションとか。,オペレーター: リーズナブルな雑貨とかがあります。
オペレーター: 高速のインターからでも２時間ぐらい かかるんですね。,オペレーター: ええ。,オペレーター: でー、冬のー、やはり道となりますとー、
オペレーター: ただ、ここは夜だけなんですよ。,オペレーター: 18時から24時の営業になっております。,オペレーター: はい。うんうん、やー、すごい良さそうですね、ここは。
オペレーター: あのーこちらの施設に関してはあのー11月25日までとなっておりますので、あのーあの、五重の塔ですとか、南大門とか、そちらに関してはあの冬でもご覧になることはできます。,オペレーター: はい。ええ、ええ。はい。,カスタマー: あのーそうですね、どこのお寺でも、あのー塔があるわけではないと思うので。はい。
オペレーター: あのーラムチョップが置いてたり、ラムロイン,オペレーター: ちょっと写真がないんで分からないんですけどラムロインっていうものが置いてたり、まぁラムのなん,オペレーター: あーおそらくそうですね。ラムのサーロインみたいなのが置いてあるところで、他にソーセージとか
オペレーター: はい、はい、はい。,オペレーター: 承知しました、少々お待ちください。,オペレーター: 通天閣自体があの観光地みたいになっておりましてー、<>出てきてるんですけれどもー、あのー、通天閣自体に行ってみますか？一応。
オペレーター: ええ、本屋さんなんですけれども、スイーツが置いてありまして。,オペレーター: ふわふわもちもちの食感のパンケーキ、3段重ね。,オペレーター: で、ボリューム満点と書かれてありまして。
オペレーター: お一人…。,オペレーター: あっ、たべある…。,オペレーター: えーと…。
オペレーター: 国の天然記念物のアオギリ樹林みたいな、樹林もあるみたいな。,オペレーター: ま木ば、ちょっとアロエを見た後に木、また樹林っていうのはあれなんですけども。,オペレーター: ちょっとこう、タイムスリップしたような感じのところなんですけれども。
オペレーター: ええ、えー、地元客も気軽に利用している、ま、場所となっております。,オペレーター: えー、こちら、空港にも近くて帰りにひと泳ぎしていく観光客の姿も、えー、ちらほらあるというような場所になってまして、えーと、4月から10月は、えー、売店、波の上商店が営業してお、おりますので。,オペレーター: ビーチグッズの販売や、バーベキューの、予約を受け付けております。
オペレーター: ゴシマうどん、えー油ぞうめん。,オペレーター: あと、ご飯だと、えー冷や汁。,オペレーター: あと鶏飯、鶏のご飯ですね。
オペレーター: はい。えっと、沖縄はえっと、季節的には。,オペレーター: あ、はい、承知しました。特にあの、沖縄でこう、し、やりたいなっていうこととかってありますか。,カスタマー: そうですね。まだちょっとあの、イメージ掴めてないんですけれど。
オペレーター: 面白いかなって,オペレーター: じゃあ一応まぁこれも一応入れときますかね、ひとつ,オペレーター: として
オペレーター: 遊ぶっていうよりは。,オペレーター: うーん。,オペレーター: あの、公園とかになってしまうんですけれども。
オペレーター: 普通に結構こちらいくつか写真もあるんですが、かなり本当になんか…、当時のままの感じー、でー…。,オペレーター: 結構、興味惹かれるような内容かなー、と思いますー。,オペレーター: はい、かしこまりました。ではこちらの旧海軍、司令部壕も、リストに入れておきますねー。
オペレーター: 一日、花と遊んでたいっていう思いから造られた花畑。,オペレーター: ていうのがございますね。,オペレーター: で、花を愛する人が、あのー、に、人気のある、ま、長く花を愛する人に、にん、長く夢を与え続けてきた人気のガーデンっていうのがございます。
オペレーター: あと、えーご当地のシダ植物ヒカゲヘゴというですね、植物もございますので、そういったものもご覧になると、まあいわゆるこう沖縄的なものをお楽しみになりながら、お菓子も買って帰れるという点では大変素晴らしいかなと思います。,オペレーター: あ、お好きでしたか、もしかして。,オペレーター: あ、左様でございますか。よかったです。ありがとうございます。
オペレーター: はい、こういうところとか、いかがですかね？,オペレーター: そうですね。こ、今は、の、は、香川県、ですね、はい。,オペレーター: 他の県のも調べてみますか？
オペレーター: で麺は、えーと、4日間かけて、えーと、麺を、うどんの麺を、えーと、打っており、天然、し、の塩や使い、コシ、つやともに絶品となっております。,オペレーター: こちらの店とかいかがでしょうか？,カスタマー: あ、いいと思います。
オペレーター: 例えば蟹ってお好きですか？,オペレーター: 赤ズワイ蟹の身を丁寧に取り出してご飯の上に載せた蟹丼。,オペレーター: とか。
オペレーター: もし春に行かれるのであれば、あのー桜が綺麗な所とかもございますけれども、ご興味ございますか？,オペレーター: はい。,カスタマー: 桜―、いいですね。
オペレーター: 例えばなんですけれども、あの、ノドグロ、お好きですか？,オペレーター: ええ、ええ。ええ、ええ。こちら、あのー、なかなか、あのー、はい、よろしいかと思うんですけど、例えば、そうですね。,カスタマー: んー。どんなお店があります？
オペレーター: ええ、ええ。,オペレーター: ええ、ええ。,カスタマー: い、あのー。有名なー、あのー。
オペレーター: あのー、古い建物なんですけども。,オペレーター: 中にあのその税関のこう、まあ歴史みたいなものが。,オペレーター: 飾られていたりとかするものはありまして。
オペレーター: いかがですかねー。,オペレーター: うん。,オペレーター: あ、意外…。
オペレーター: うんー。,オペレーター: そうですね。,オペレーター: ん、まっ、朝行って。そのまま、食べ終わって向かえば、まあ大丈夫かなっていう。
オペレーター: あ、かしこまりました。,オペレーター: はい。そうしますと。,オペレーター: あの、こちらでご案内した内容を、ちょっと、あの、確認してもよろしいですか。はい。
オペレーター: えぇ。,オペレーター: はい。,オペレーター: あの結構写真が載ってるんですけども。
オペレーター: はい。,オペレーター: はい。,オペレーター: あ、はい。ただ今お調べいたします。少々お待ちください。
オペレーター: はい。,オペレーター: えぇ。,カスタマー: まぁちょっとイメージするのが。
オペレーター: はい。,オペレーター: ちょっと、ここは、場所は、あのー、岩手県になるんですけど、最寄り駅は盛岡です。,オペレーター: で、えーと、売っているものが、まー、南部鉄器とか、ほーむ、ホームスパン、ホーム、ホームスパン。
オペレーター: ええ。で、こちらがですね、あの、場所が旭川。,オペレーター: ちょうど北海道の真ん中ぐらいなんですけど。,オペレーター: はい、旭川となっておりますので。
オペレーター: あの、囲炉裏端。,オペレーター: 囲炉裏っていう、あのー、灰が入っていて、炭が燃えていて、座って、そこで温まりながら、あのお料理を食べるっていう形でございます。,カスタマー: あ、そういう雰囲気の店があるんですね、じゃあ。
オペレーター: こんにちは。,オペレーター: はい、本日はご利用いただきまして、ありがとうございます。お客様、どのようなご旅行を希望でしょうか？,オペレーター: はい、はい、えぇえぇ、はい、はい、はい、あっかしこまりました。はい、お客様卒業旅行となりますと、あのー春頃に行かれるんですかね？
オペレーター: ちょっと史跡系でちょっと検索してみますね。,オペレーター: 少々お待ちください。,オペレーター: はい、えーとですね、はい、えーとー、いくつか候補が見つかりました。
オペレーター: あっ、あ、そうですよねー。,オペレーター: ええ。,オペレーター: あ、はい。それでは、あのー、そうですね、じゃあ冬以外ということでー、はい、あのー、ちょっと調べてみ、あのー、はい。
オペレーター: ホテルとの中とかに入っている。,オペレーター: ま、お昼も夜もあるんですけれども、ホテルモントロ、モントレエーデルホフ札幌っていう中にある、あの、ずい、随縁亭っていう、あの、おすしとか和食とか食べられるお店があるんですけれども。,オペレーター: あの、こちらは、あの、地産地消を基本とした食材を、こう、生かしてる。
オペレーター: あっ、それがー、えっと、釜屋さん、っていう所です。あの、お店の、食べ物ほぼ、日光と…、うん。栃木のやつですね。,オペレーター: その今三店舗、ほど…、出てきたので。,カスタマー: なんでまあ、ランチ帯はそのー、ビーフシチューとそのー、釜屋さん。
オペレーター: とても新鮮なビールを、あ、,オペレーター: お求めになってー、持っていかれるということもできますしー、,オペレーター: まあ、あの、ロイズっていうチョコレートですね。
オペレーター: 結構、そのち…。その距離でありますか。,オペレーター: 近場、バスを使ったりとかして、あのー、,オペレーター: 回れるとは思うんですけれども。
オペレーター: はい、あの、北海道ならではのお土産屋さんが結構ありまして。,オペレーター: で、こちらで、その、お土産も売ってますし、あのー、テレビ塔ですので、上に登っていただいて、あの、観光とかもできますね。,カスタマー: えー、そうなんですね。
オペレーター: で、季節とかもし決まってれば、まだ決まってない。,オペレーター: ああ、雪を避けて<>、春先ぐらい、はい、かしこまりました。,オペレーター: で、えーと、じゃあお一人で楽しめるようなところのほうがいいですか？なんか具体的にやりたいことがあれば、まずお調べしたいと思うんですけど。
オペレーター: はい。,オペレーター: 通天閣は、あ、もちろん初めてってことで、その周りを見たいっていう感じですかね、なんかどうぶ、はい。,カスタマー: はい、あの、商店街みたいなのがあるんですかね、あの、スカイツリーみたいに。
オペレーター: はい、かしこまりました。遺産、世界遺産ですね。,オペレーター: はい。少々お待ちください。,オペレーター: はい。えーとですね、ただいま調べましたところ、ちょっとですね、えーと、別の調べ方で、ちょっと調べてみますね。すいません。見る…。
オペレーター: あの、季節、季節的にはどれくらいの季節がよろしいですか？,オペレーター: 秋がよろしいですか？,オペレーター: あ、ここはあの、四季折々色々楽しめるので。
オペレーター: あの、ちっちゃいお子さまがいても、あのー、雨でも大丈夫っていう。,オペレーター: お食事処なんで雨降ったら困りますけど。,カスタマー: フフフフフ。
オペレーター: 一応お子さ、はい。,オペレーター: えっと、<>ですね、えっと、沖縄空港からですね、えっと車で約1時間30分でございます。,オペレーター: はい。特に春におすすめみたいで、雨でもオッケーという風になってます。
オペレーター: ゴリ卵とじなどですね。,オペレーター: でー、足を伸ばせる、その、掘りごたつ式になってまして、テーブルが。,オペレーター: え、こちらだと、えー、いろり付きで地鶏や海鮮料理を目の前で焼きながら食べられるっていうのが、いろ、えーと、お客さまに好評のようです。
オペレーター: はい、お待たせしております。,オペレーター: オルゴールの美術館というものが、こちらでご案内できる場所がですね、,オペレーター: 少々お待ちくださいね。こちら、アンノイエというところがあるんですけれども、こちらお客様ご存知でしょうか？
オペレーター: はい。そうなんですね。はい。,オペレーター: で、こっち、ええ、そうですね、で、令和元年にさらに拡張して広くなったそうで。,オペレーター: そうですね、しと…。
オペレーター: こちらはいかがですかね?,オペレーター: 結構、なんか、フルーツパーラーなんですけど、一応、書いてあるんですが、あの、有名なのが、このー、えーと。,カスタマー: シュークリーム。
オペレーター: えっとー、お店の説明としましては、昭和25年の創業で、あのー<>とかが多くあの通ってくる蕎麦処みたいですね。,オペレーター: あの女将さんがこう考案したつけ天っていうのが今あのさっきおは、話をしたような、しましたあのー、冷たいお蕎麦の、をあのー、エビが乗っているみたいな、天ぷらが乗っているみたいな、あのーもので、暖かなお蕎麦に大きなエビが天が入っているものもございます。,カスタマー: はー、なるほどなるほど。
オペレーター: ナンバフォーティーエイトですね、これ、すいません。,オペレーター: え<>。,カスタマー: ナンバエイトってなんか要するに、アイドル歌手？
オペレーター: まあそこまであの、なんというんでしょう、がっつりお酒を飲んでいるような場所ではございませんね。,オペレーター: そうで、ええ、そうですね。まあ和食のちょっとした小さなお店というようなご理解をいただければと思います。,オペレーター: はい。ではお夕食はこちらになさいますか？
オペレーター: あの、石屋カフェってゆーところがあるんですけれども。,オペレーター: こちらはいかがでしょうか?,オペレーター: カフェレストランとなっていまして、あの、北海道銘菓の白い恋人ってありますよね。
オペレーター: あのー、ま、あのー、こちらは何となくあれかな、あの、楽しめそうな雰囲気のお店だと思うんですけど。,オペレーター: あとは、ちょっと堅苦しい感じのうな丼、うな重ですか。,オペレーター: そういうものになっちゃうんですけど、こちら、ゆず庵で一応チェック入れておきますか。
オペレーター: 魚のすり身の、はい。ちくわですとか、あとはー…えーっとですね。,オペレーター: やはり海産物を扱った、あの、蟹ですとか、はい、カレイとかですね。,カスタマー: うーん、やっぱり<>が、はい。
オペレーター: はい。,オペレーター: すっぽんとかもあるんですけど。,オペレーター: ハモとかー、夏はハモで、あとは、すっぽんとかは、そのー、ふぐとか、ふぐとかいかがですか？
オペレーター: なるほど。一人旅でーいらっしゃるんですね。,オペレーター: はい。かしこまりました。,オペレーター: えーとではまず沖縄県に行きたい、えー、冬の沖縄県に行ってみたいということで、したが、スーッ、えーとー、何か具体的にー、こういうー、ものが見てみたいとかー、えーと、こういう…、えー、ことしてみたいとかそういったー…、えーとアイディアなどはございますか？
オペレーター: そう…、そう…ですね。,オペレーター: ええ。,オペレーター: ばっしょーは、えーとー、今那覇で…、あのー、で…、那覇です。お調べ…、お調べというか那覇で出て来てます。
オペレーター: ということで、えーっと。,オペレーター: 直売所の2階から、あのガラスの窓越しに醸造風景見学できるみたいですね。,カスタマー: へー、いいなぁそれ。
オペレーター: 特別な、え、音階から作られた環境、環境音楽が流れる演出や、え、壁画のアートワーク、絶景の、えー、眺望トイレなど、多彩な趣向も見事だ。,オペレーター: あとはカフェなんかもあるみたいなんで、こちらで、まぁあの、軽食だったりとか、あとケーキセットなんか。,オペレーター: もあの、いただけるみたいで、あとは、夜でしたらビールですとかワインですとか、そういったお酒のご用意もあるみたいですね。
オペレーター: はい。,オペレーター: なんかちょっと面白そうですよね。,オペレーター: はは、はい。
オペレーター: あのー、まえっと、季節は今回はいつ、春で、すね。,オペレーター: あー。,オペレーター: あの、一応ですね、あのキダチアロエの、あのー花祭りがあって、それは12月の中、あ、上旬から1月の初旬までなんですけれども。
オペレーター: あ、<>うどんはー,オペレーター: 最初の、最初に申し上げたのと、二つ目申し上げたのでしたら、どっちがよろしいですかね？,オペレーター: あー、そうですね。朝からやってるんで、もう、朝ごはんとして食べることもできるかと思いますね。
オペレーター: はい。そうですね。,オペレーター: ちょっとその辺の明記はされておりませんで。,オペレーター: あのー、3歳以上のお子さまってなっているので、もしかすると。
オペレーター: はい、まずこちらがですね、札幌市内のお店になってまして、ま、漁港直送の、ぷりぷりで大きめな牡蠣が、えー、一個432円で、生でも焼きでも楽しめるという、えー、のが売りのお店でして。,オペレーター: 牡蠣のほかにも旬の素材を使った、美味しいメニューがそろっているので、常連客はまず、今日のおすすめから、ま、大抵頼むような感じになってる、とのことですね。,オペレーター: あと、ま、刺身、焼き物、どちらも日本酒がすすむような、こう、お刺身、料理が、けっこう沢山あるお店になってますね。
オペレーター: あと、そのー、ナガンヌ島、行かれまして、その、海の。,オペレーター: アクティビティーを体験されて、あと、その、はい。,オペレーター: 瀬長島で夜景を見るような感じですね。
オペレーター: なんですかね。,オペレーター: ちょっと写真がなくて、確認ができないんですけど。,カスタマー: まぁ変わってて美味しくなかったっていうのもなんかちょっと裏切られた感じがしますからね。
オペレーター: はい、一応、タコス専門店タコヤ国際通り店と言いますので、よろしくお願い致します。,オペレーター: では、本日ご案内いたしました内容を今一度確認させていただきます。,オペレーター: はい、えー、まずタコスのお店が何度も申し上げまして申し訳ございませんが、タコス専門店タコヤ国際通り店でございますね。
オペレーター: はい。はい。あとあれですね、そのー、美味しい和菓子屋さんですよね。今お調べいたしますね。,オペレーター: お客様、あのー、あんみつとか好きですか？あんみつ、羊羹…。,オペレーター: あ、お客様？聞こえてますか？あ、大丈夫ですかね？
オペレーター: 恐らく多分そうだと思、あ、か、書かれておりますね。世界的にも活躍するパティシエの、はい、方で。はい。,オペレーター: 加賀野菜や能登ミルクを使ったスイーツだそうで。,オペレーター: ええ。なかなか、うんー、こだわりがあると。
オペレーター: はい。で、こちらですね、あのー、割と札幌の中心部にございますので、あの、アクセスはしやすいと思いますので、はい、便利かと思います。,オペレーター: はい。あと他に、えーとですね、こちらからご案内できるところですと。,オペレーター: あのー、ノースサファリサッポロとございまして、はい、こちらがですね、あのー、写真とかこちらで、あの、確認したところ、あのー、お客さま、あのー、ヘビとか苦手ですか？アハッ。
オペレーター: はい、こちら、あのー、そうですね、アナゴもー、あのー、牡蠣もー、あのー、いろいろございますのでー、はい、是非行かれてはどうでしょうか？,オペレーター: はい。,オペレーター: あ、ふふ、はい。
オペレーター: はい、承知しました。,オペレーター: あ、今お答えしますね。,オペレーター: えっと営業時間は5時から5、あ、9時からえっとー17時、5時ですね。
オペレーター: こちらですねー、ございますのがー、例えば帯広エリア。,オペレーター: えー、でしたりー、あとですね、こちらも帯広ですかねー、そうですねー、帯広エリア、あと釧路。,オペレーター: そういった所にですね
オペレーター: っていうお店が、これも那覇で、あるんですけど。,オペレーター: こちらまあ、あのー…。ちょっとイベント事として、面白そうなのは。,オペレーター: あのー…、お店、おそらく二階建てになっているとも、思われるんですが。
オペレーター: はーい。そうですね、蟹…蟹のお店で良さそうなところがですね。,オペレーター: あのー、きょうど料理亭杉ノ目さんというお店がございまして。,オペレーター: はい、こちらがですね、えーと、蟹、蟹と北海道料理のお店でして。
オペレーター: はい。こちらがですね、えーと、ハンバーグとステーキをメインにしましてー、あのー、はい、こちらで、その、えーとですね、牛肉は鹿児島県の黒毛和牛を、はい、使用いたしまして。はい。人気のあるお店でございます。,オペレーター: はい。こちら、候補の一つとして押さえておきますか？,オペレーター: かしこまりました、はい。えーと、そうですね、こちらは月曜日がお休みでございますね。
オペレーター: はい、えーと、そうで…お寿司とかもちょっと違いますかね。,オペレーター: あ、はい。,オペレーター: そうですね、ちょっと、この、寿司、お寿司屋さん1個見つかったんですけど、ちょっと写真がないので何かちょっとあんまりイメージがわきづらいかと思うんですけど。あと一応この秋田料理…を色々、いろんな種類、ま、魚介もそうですし、あのー、お肉もお楽しみいただけるようなお店も見つかってるんですけど、こちらとかいかがですかね？
オペレーター: えーえーえーえー。,オペレーター: こちらもー。,カスタマー: ま、でも、そーゆーの、父の方が詳しいかと思いますけど、ふふ、うーん
オペレーター: あの、まあ札幌ですと,オペレーター: あの北海道大学の植物園。,オペレーター: 宮部金吾ろう博物、記念館とかっていうのがございます。
オペレーター: 少々お待ちください。,オペレーター: 難波。,カスタマー: ふふっ。
オペレーター: 洞窟風呂ございました。,オペレーター: はい。,カスタマー: すごーい。
オペレーター: ここで、お土産を買ってー、あとは何か、あのー、ありますかね。,オペレーター: えーとー、体験してみたいとかー、少し休憩したいとかっていうのがあれば、お探ししますけれども。,カスタマー: あーそうですか、えっとー、あの、ちょっと離れてるんかね、あの吉本興業とかのー建物見るだけでもみてみたいなーって思うんですけど、あの<>、はい。
オペレーター: かしこまりました、ではですね、本日ご案内しました場所をおさらい致しますねー、はい。,オペレーター: はい、まず一ノ滝、二ノ滝渓谷で滝をご覧になって、マイナスイオンをたっぷり浴びるということですよね、はい。,カスタマー: はい、はい、そうです、はい、はい。
